year_month,date,geography,type,avg_price,price_total_volume,four_zero_four_six_units,four_two_two_five_units,four_seven_seven_zero_units,total_bags,s_bags,l_bags,xl_bags,status,prod_total_volume,ratio price_total_volume vs prod_total_volume,ratio CA sold vs prod,california,prod,chile,mexico,peru,columbia
1/1/2018,1/14/2018,California,conventional,1.27,5927016.73,2098762.55,2356359.93,151045.33,1320848.92,1226559.09,25390.97,68898.86,actual,52758905,0.112341542,0.14,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
1/1/2018,1/14/2018,California,organic,1.61,216681.04,52253.4,95353.95,0,69073.69,69054.51,19.18,0,actual,52758905,0.004107004,3.83,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
1/1/2018,1/21/2018,California,conventional,1.12,6610010.64,2378177.09,2590301.7,122950.68,1518581.17,1431898.88,24801.59,61880.7,actual,54698266,0.120844976,0.44,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
1/1/2018,1/21/2018,California,organic,1.69,181974.98,34411.37,64513.67,0,83049.94,83022.84,27.1,0,actual,54698266,0.003326888,16.01,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
1/1/2018,1/28/2018,California,conventional,1.16,6134040.58,2254631.8,2185495.65,121090.87,1572822.26,1480527.7,24545.94,67748.62,actual,45299201,0.135411673,0.44,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
1/1/2018,1/28/2018,California,organic,1.87,170998.81,30070.62,58357.89,0,82570.3,82563.11,7.19,0,actual,45299201,0.003774875,15.78,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
1/1/2018,1/7/2018,California,conventional,1.19,5756632.36,2350838.88,1704810.36,135053.06,1565930.06,1465321.32,25951.12,74657.62,actual,45670156,0.126048012,0.16,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
1/1/2018,1/7/2018,California,organic,1.95,156341.57,42992.91,56007.79,0,57340.87,57271.15,69.72,0,actual,45670156,0.003423276,5.75,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
1/1/2018,1/14/2018,Los Angeles,conventional,1.28,2409159.6,1104367.71,403918.08,101443.02,799430.79,739977.4,16783.17,42670.22,actual,52758905,0.045663563,0.34,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
1/1/2018,1/14/2018,Los Angeles,organic,1.68,106624.63,15769.61,39738.42,0,51116.6,51104.4,12.2,0,actual,52758905,0.002020979,7.79,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
1/1/2018,1/21/2018,Los Angeles,conventional,1.15,2653023.23,1230413.83,364552.16,82843.86,975213.38,918833.2,16789.91,39590.27,actual,54698266,0.048502876,1.10,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
1/1/2018,1/21/2018,Los Angeles,organic,1.75,94441.5,9239.41,24527.98,0,60674.11,60647.03,27.08,0,actual,54698266,0.00172659,30.85,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
1/1/2018,1/28/2018,Los Angeles,conventional,1.08,2893717.97,1134192.09,707838.42,81296.65,970390.81,911703.94,16595.96,42090.91,actual,45299201,0.063880111,0.93,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
1/1/2018,1/28/2018,Los Angeles,organic,1.73,97026.15,11366.1,25056.37,0,60603.68,60596.54,7.14,0,actual,45299201,0.002141895,27.81,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
1/1/2018,1/7/2018,Los Angeles,conventional,1.04,2725856.44,1275098.12,354221.03,91230.73,1005306.56,940327.03,18317.46,46662.07,actual,45670156,0.059685726,0.33,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
1/1/2018,1/7/2018,Los Angeles,organic,1.8,87517.23,20189.33,24193.04,0,43134.86,43077.03,57.83,0,actual,45670156,0.001916289,10.28,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
1/1/2018,1/14/2018,Sacramento,conventional,1.31,504269.23,144109.69,299605.5,1249.15,59304.89,52486.47,754.65,6063.77,actual,52758905,0.009557993,1.65,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
1/1/2018,1/14/2018,Sacramento,organic,1.6,9939.69,3653.04,4484.42,0,1802.23,1802.23,0,0,actual,52758905,0.000188398,83.59,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
1/1/2018,1/21/2018,Sacramento,conventional,1.15,591211.37,160917.18,362263.89,1136.97,66893.33,60172.16,1674.44,5046.73,actual,54698266,0.010808594,4.93,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
1/1/2018,1/21/2018,Sacramento,organic,1.62,8933.22,3017.16,3954.94,0,1961.12,1961.12,0,0,actual,54698266,0.000163318,326.16,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
1/1/2018,1/28/2018,Sacramento,conventional,1.32,468915.38,158788.12,233834.71,1129.27,75163.28,67847.8,1197.57,6117.91,actual,45299201,0.010351515,5.75,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
1/1/2018,1/28/2018,Sacramento,organic,1.99,7631.73,2280.4,3098,0,2253.33,2253.33,0,0,actual,45299201,0.000168474,353.57,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
1/1/2018,1/7/2018,Sacramento,conventional,1.35,465108.34,159862.75,247999,1045.98,56200.61,49386.35,522.37,6291.89,actual,45670156,0.010184076,1.93,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
1/1/2018,1/7/2018,Sacramento,organic,2.18,6511.97,2187.59,2577.71,0,1746.67,1746.67,0,0,actual,45670156,0.000142587,138.11,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
1/1/2018,1/14/2018,San Diego,conventional,1.41,439652.12,160896.99,136499.29,21680.72,120575.12,113513.51,4689.39,2372.22,actual,52758905,0.008333231,1.89,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
1/1/2018,1/14/2018,San Diego,organic,1.81,21770.02,3285.98,14338.52,0,4145.52,4145.52,0,0,actual,52758905,0.000412632,38.16,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
1/1/2018,1/21/2018,San Diego,conventional,1.26,460708.82,192219.39,122174.21,17624.92,128690.3,121675.53,4729.22,2285.55,actual,54698266,0.008422732,6.32,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
1/1/2018,1/21/2018,San Diego,organic,1.95,18676.37,1088.49,9282.37,0,8305.51,8305.51,0,0,actual,54698266,0.000341444,156.01,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
1/1/2018,1/28/2018,San Diego,conventional,1.07,566134.81,168171.75,256042.84,16669.82,125250.4,118366.92,4446.82,2436.66,actual,45299201,0.012497678,4.77,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
1/1/2018,1/28/2018,San Diego,organic,1.91,17579.47,1145.64,8284.41,0,8149.42,8149.42,0,0,actual,45299201,0.000388075,153.49,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
1/1/2018,1/7/2018,San Diego,conventional,1.18,464720.86,192510.16,118483.12,19625.38,134102.2,125040.09,6169.89,2892.22,actual,45670156,0.010175592,1.94,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
1/1/2018,1/7/2018,San Diego,organic,2.06,16746.82,5150.82,9366.31,0,2229.69,2229.69,0,0,actual,45670156,0.000366691,53.70,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
1/1/2018,1/14/2018,San Francisco,conventional,1.21,1117376.99,193892.28,785766.05,2860.37,134858.29,130904.76,944.69,3008.84,actual,52758905,0.021178927,0.74,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
1/1/2018,1/14/2018,San Francisco,organic,1.32,37347.89,19301.15,14957.23,0,3089.51,3089.51,0,0,actual,52758905,0.000707897,22.25,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
1/1/2018,1/21/2018,San Francisco,conventional,1.01,1301932.95,259497.05,919666.37,2578.69,120190.84,117863.67,80.08,2247.09,actual,54698266,0.023802088,2.24,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
1/1/2018,1/21/2018,San Francisco,organic,1.36,27919.45,13037.67,11998.44,0,2883.34,2883.34,0,0,actual,54698266,0.000510427,104.36,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
1/1/2018,1/28/2018,San Francisco,conventional,1.38,821352.05,246496.88,418612.3,2588.33,153654.54,150232.81,402.62,3019.11,actual,45299201,0.018131712,3.29,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
1/1/2018,1/28/2018,San Francisco,organic,2.27,20325.75,9368.06,8808.8,0,2148.89,2148.89,0,0,actual,45299201,0.0004487,132.76,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
1/1/2018,1/7/2018,San Francisco,conventional,1.46,818086.25,209267.23,466935.74,2525.01,139358.27,136440.18,104.56,2813.53,actual,45670156,0.017912929,1.10,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
1/1/2018,1/7/2018,San Francisco,organic,2.3,20151.24,10165.34,8042.56,0,1943.34,1943.34,0,0,actual,45670156,0.000441234,44.63,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2/1/2018,2/11/2018,California,conventional,0.98,6718358.1,2787033.93,1781591.88,119593.17,2030139.12,1930311.89,31301.69,68525.54,actual,39307402,0.170918396,0.45,3039843,"(2018-02-01,2/11/2018,actual,39307402,3039843,0,36267559,0,0)",0,36267559,0,0
