year_month,date,status,total_volume,california,chile,mexico,peru,columbia,price_LA,price_SD,price_SF,price_SAC,price_LA_organic,price_SD_organic,price_SF_organic,price_SAC_organic
1/1/2018,1/7/2018,actual,45670156,899349,519433,44251374,0,0,0.88,0.98,0.92,1.03,1.74,2,1.52,1.61
1/1/2018,1/14/2018,actual,52758905,830821,449003,51479081,0,0,1.04,1.18,1.46,1.35,1.8,2.06,2.3,2.18
1/1/2018,1/21/2018,actual,54698266,2913663,445127,51339476,0,0,1.28,1.41,1.21,1.31,1.68,1.81,1.32,1.6
1/1/2018,1/28/2018,actual,45299201,2698356,95491,42505354,0,0,1.15,1.26,1.01,1.15,1.75,1.95,1.36,1.62
2/1/2018,2/4/2018,actual,47371481,2635471,0,44736010,0,0,1.08,1.07,1.38,1.32,1.73,1.91,2.27,1.99
2/1/2018,2/11/2018,actual,39307402,3039843,0,36267559,0,0,0.73,0.88,0.84,0.86,1.6,1.81,1.34,1.5
2/1/2018,2/18/2018,actual,51204346,4264449,0,46939897,0,0,0.85,0.93,1.32,1.07,1.74,1.88,2.22,1.87
2/1/2018,2/25/2018,actual,53018743,5031685,0,47987058,0,0,1.08,1.23,1.06,1.19,1.88,2.05,2.25,1.88
3/1/2018,3/4/2018,actual,50628975,4863680,0,45765295,0,0,1,1.07,1.17,0.99,1.74,1.83,2.11,1.78
3/1/2018,3/11/2018,actual,52057338,6816044,0,45241294,0,0,1.1,1.24,1.16,1.18,1.4,1.65,2.07,1.83
3/1/2018,3/18/2018,actual,51922869,4143387,0,47779482,0,0,1.03,1.14,1.29,1.18,1.39,1.59,2.16,1.9
3/1/2018,3/25/2018,actual,45807126,4997613,0,40809513,0,0,0.91,0.92,1.38,1.14,1.72,1.75,1.86,1.68
4/1/2018,4/1/2018,actual,39158603,8244614,0,30913989,0,0,1.02,1.1,1.01,1.13,1.74,1.75,1.64,1.63
4/1/2018,4/8/2018,actual,57742874,10978270,0,46764604,0,0,1.1,1.21,1.43,1.35,1.72,1.8,1.82,1.69
4/1/2018,4/15/2018,actual,65017211,13069634,0,51947577,0,0,0.97,1.06,0.87,0.9,1.81,1.96,1.69,1.51
4/1/2018,4/22/2018,actual,66889496,14568602,0,52320894,0,0,1.01,1.18,1.13,1.14,1.52,1.91,1.94,1.64
