,date,geography,avg_price,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
0,2017-01-08,West Tex/New Mexico,0.76,486063.56,102288.73,15502.82,151408.26,199527.38,30.56,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
1,2017-01-29,West Tex/New Mexico,0.74,607131.32,61234.48,15028.65,159375.8,136376.6,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
2,2017-01-22,West Tex/New Mexico,0.67,653900.04,95147.87,14466.07,113880.3,223558.86,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
3,2017-01-02,West Tex/New Mexico,0.75,394004.15,96731.03,16147.28,134847.67,178016.4,2.22,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
4,2017-01-15,West Tex/New Mexico,0.73,565135.47,98377.69,17186.36,153857.94,234040.82,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
5,2017-01-08,Tampa,1.27,131948.41,75346.27,100.07,80554.92,63758.11,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
6,2017-01-29,Tampa,1.21,183508.26,90757.43,207.75,93866.67,76118.2,793.06,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
7,2017-01-22,Tampa,1.0,178179.3,151852.98,116.5,80110.89,137540.75,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
8,2017-01-02,Tampa,0.93,202816.81,150261.06,71.05,87852.78,137059.59,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
9,2017-01-15,Tampa,1.24,176596.61,89720.14,152.26,81860.82,77557.96,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
10,2017-01-08,Syracuse,1.43,1221.37,41382.49,11.79,24733.29,4.44,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
