,date,geography,avg_price,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi
0,2017-01-08,West Tex/New Mexico,1.18,1327.98,2617.2,5.75,10283.85,140.61,0.0,9.92,42.2,3.61
1,2017-01-29,West Tex/New Mexico,1.3,1486.34,4498.48,26.12,11821.76,6.67,0.0,9.92,42.2,3.61
2,2017-01-22,West Tex/New Mexico,1.21,1413.93,2820.53,20.25,12073.07,102.86,0.0,9.92,42.2,3.61
3,2017-01-02,West Tex/New Mexico,1.28,867.66,3434.02,37.3,10815.88,153.01,0.0,9.92,42.2,3.61
4,2017-01-15,West Tex/New Mexico,1.19,1203.87,2904.22,23.07,12476.57,406.5,0.0,9.92,42.2,3.61
5,2017-01-08,Tampa,1.21,285.78,50.14,0.0,3836.67,2348.11,0.0,9.92,42.2,3.61
6,2017-01-29,Tampa,1.43,263.33,46.22,0.0,2496.67,2445.51,0.0,9.92,42.2,3.61
7,2017-01-22,Tampa,1.2,252.11,33.77,0.0,4266.66,2387.17,0.0,9.92,42.2,3.61
8,2017-01-02,Tampa,1.22,287.57,36.42,0.0,3530.0,2051.06,0.0,9.92,42.2,3.61
9,2017-01-15,Tampa,1.21,320.78,60.1,0.0,4763.33,2381.83,0.0,9.92,42.2,3.61
10,2017-01-08,Syracuse,1.7,0.0,113.63,0.0,1777.21,552.73,0.0,9.92,42.2,3.61
11,2017-01-29,Syracuse,1.67,0.0,106.8,0.0,1473.19,169.52,0.0,9.92,42.2,3.61
12,2017-01-22,Syracuse,1.57,19.02,65.93,0.0,1795.94,0.0,0.0,9.92,42.2,3.61
13,2017-01-02,Syracuse,1.7,6.3,42.83,0.0,1263.57,498.33,0.0,9.92,42.2,3.61
14,2017-01-15,Syracuse,1.53,2.53,156.91,0.0,3000.33,19.68,0.0,9.92,42.2,3.61
15,2017-01-08,St. Louis,1.67,1559.52,325.05,0.0,1381.78,799.3,0.0,9.92,42.2,3.61
16,2017-01-29,St. Louis,1.36,1315.28,514.22,0.0,811.11,3629.27,0.0,9.92,42.2,3.61
17,2017-01-22,St. Louis,1.4,1189.05,791.05,0.0,1287.78,3266.73,0.0,9.92,42.2,3.61
