year_month,date,status,prod_total_volume,location,prod_volume
2019-07-01,2019-07-14,actual,54169319,california,12772597
2018-11-01,2018-11-11,actual,7175415,california,0
2018-04-01,2018-04-15,actual,65017211,california,13069634
2018-10-01,2018-10-21,actual,41484288,california,786902
2020-05-01,2020-05-31,actual,51667453,california,11861004
2018-11-01,2018-11-25,actual,70104497,california,0
2018-02-01,2018-02-04,actual,47371481,california,2635471
2018-03-01,2018-03-11,actual,52057338,california,6816044
2018-03-01,2018-03-25,actual,45807126,california,4997613
2019-03-01,2019-03-03,actual,56315469,california,689283
2020-10-01,2020-10-04,actual,52210342,california,3964963
2019-12-01,2019-12-15,actual,48427351,california,0
2019-02-01,2019-02-03,actual,45231823,california,225945
2018-07-01,2018-07-29,actual,49443206,california,6963066
2018-05-01,2018-05-20,actual,54804644,california,13573634
2019-04-01,2019-04-28,actual,43710990,california,9434335
2020-06-01,2020-06-14,actual,64385710,california,13344459
2019-05-01,2019-05-12,actual,45314468,california,6719247
2019-09-01,2019-09-01,actual,37090495,california,2233704
2019-03-01,2019-03-24,actual,47860338,california,1571282
2019-08-01,2019-08-11,actual,30887574,california,4205974
2018-06-01,2018-06-17,actual,50646896,california,12202533
2018-07-01,2018-07-22,actual,43482853,california,8956463
2019-11-01,2019-11-10,actual,43217649,california,0
2019-04-01,2019-04-21,actual,41226066,california,9894095
2018-06-01,2018-06-10,actual,54216347,california,12776858
2018-01-01,2018-01-07,actual,45670156,california,899349
2019-08-01,2019-08-25,actual,48325702,california,3013192
2018-05-01,2018-05-27,actual,58216425,california,14293995
2020-07-01,2020-07-19,actual,55528282,california,10130158
2019-10-01,2019-10-06,actual,48828843,california,476745
2020-10-01,2020-10-11,actual,56934734,california,2412058
2018-04-01,2018-04-22,actual,66889496,california,14568602
2018-04-01,2018-04-01,actual,39158603,california,8244614
2018-12-01,2018-12-09,actual,55009729,california,0
2018-09-01,2018-09-23,actual,49322205,california,3042322
2019-12-01,2019-12-08,actual,55662831,california,0
2020-11-01,2020-11-08,actual,42783020,california,1634969
2019-07-01,2019-07-28,actual,53521551,california,7545211
2019-05-01,2019-05-26,actual,53448347,california,11609804
2019-03-01,2019-03-31,actual,57772402,california,3431234
2019-02-01,2019-02-24,actual,60985301,california,397103
2018-06-01,2018-06-24,actual,49126245,california,11017628
2020-11-01,2020-11-22,projection,38427934,california,0
2018-06-01,2018-06-03,actual,54230134,california,9832339
2020-08-01,2020-08-09,actual,52326427,california,9553079
2020-03-01,2020-03-08,actual,47119478,california,8249788
2020-07-01,2020-07-26,actual,59549678,california,9483748
2020-11-01,2020-11-15,actual,56990553,california,1390168
2019-08-01,2019-08-18,actual,49712129,california,3864187
2018-07-01,2018-07-01,actual,59868501,california,13034205
2018-09-01,2018-09-09,actual,44091358,california,3157120
2020-06-01,2020-06-28,actual,67186115,california,15228590
2019-10-01,2019-10-13,actual,52027810,california,170248
2018-08-01,2018-08-05,actual,52948354,california,6652168
2018-12-01,2018-12-16,actual,50045775,california,1900
2018-08-01,2018-08-26,actual,48011570,california,8826173
2020-10-01,2020-10-18,actual,55367338,california,2203774
2019-10-01,2019-10-27,actual,48468039,california,0
2019-02-01,2019-02-17,actual,52838523,california,218968
2018-01-01,2018-01-14,actual,52758905,california,830821
2019-06-01,2019-06-09,actual,44060017,california,10069551
2020-06-01,2020-06-21,actual,65624404,california,13754827
2020-11-01,2020-11-01,actual,49535249,california,1314534
2019-01-01,2019-01-27,actual,59200492,california,306018
2020-03-01,2020-03-15,actual,48039847,california,3868964
2018-12-01,2018-12-02,actual,55202354,california,0
2020-09-01,2020-09-06,actual,52693480,california,8453470
2018-01-01,2018-01-28,actual,45299201,california,2698356
2019-07-01,2019-07-07,actual,51446909,california,12657672
2019-01-01,2019-01-13,actual,73115987,california,71558
2019-11-01,2019-11-03,actual,53112275,california,0
2020-05-01,2020-05-24,actual,51932040,california,16615963
2018-11-01,2018-11-04,actual,15760324,california,0
2020-09-01,2020-09-20,actual,45986305,california,6779219
2020-02-01,2020-02-09,actual,29476898,california,2489304
2019-05-01,2019-05-19,actual,50595179,california,9208998
2018-08-01,2018-08-19,actual,56452066,california,8625095
2020-01-01,2020-01-12,actual,65307572,california,319866
2020-04-01,2020-04-12,actual,24945091,california,3115152
2019-12-01,2019-12-29,actual,33408342,california,0
2018-10-01,2018-10-14,actual,43609892,california,798732
2020-01-01,2020-01-26,actual,66647112,california,2822485
2020-04-01,2020-04-05,actual,24392863,california,7933743
2018-12-01,2018-12-23,actual,47448337,california,950
2020-01-01,2020-01-05,actual,32537444,california,37220
2018-05-01,2018-05-13,actual,49634250,california,13013238
2019-03-01,2019-03-10,actual,55687317,california,563806
2019-10-01,2019-10-20,actual,45213563,california,0
2020-03-01,2020-03-22,actual,54765620,california,8086208
2020-08-01,2020-08-02,actual,61589035,california,9301142
2018-12-01,2018-12-30,actual,33740596,california,1800
2018-09-01,2018-09-02,actual,38516499,california,5955763
2018-09-01,2018-09-30,actual,39213471,california,1962416
2020-01-01,2020-01-19,actual,76375629,california,1604707
2018-02-01,2018-02-11,actual,39307402,california,3039843
2020-06-01,2020-06-07,actual,54322214,california,12247478
2020-08-01,2020-08-30,actual,48717827,california,8494500
2020-05-01,2020-05-10,actual,68814562,california,17353081
2020-09-01,2020-09-13,actual,50284383,california,5945695
2018-02-01,2018-02-25,actual,53018743,california,5031685
2020-03-01,2020-03-29,actual,36225538,california,8323661
2020-02-01,2020-02-23,actual,60175473,california,6454635
2019-05-01,2019-05-05,actual,37778586,california,7274131
2018-01-01,2018-01-21,actual,54698266,california,2913663
2019-09-01,2019-09-15,actual,51760427,california,934008
2020-07-01,2020-07-12,actual,52258875,california,11391217
2019-12-01,2019-12-01,actual,49266022,california,0
2019-01-01,2019-01-06,actual,39644522,california,0
2019-04-01,2019-04-07,actual,66309565,california,7995697
2019-01-01,2019-01-20,actual,73262502,california,35452
2020-12-01,2020-12-06,projection,52612612,california,0
2019-03-01,2019-03-17,actual,57661257,california,1115176
2019-06-01,2019-06-23,actual,43112741,california,12526752
2019-09-01,2019-09-22,actual,41138734,california,717498
2020-05-01,2020-05-17,actual,54720342,california,14715907
2019-12-01,2019-12-22,actual,49600528,california,0
2020-07-01,2020-07-05,actual,55217288,california,11780040
2019-11-01,2019-11-17,actual,41304726,california,0
2020-04-01,2020-04-26,actual,70861471,california,16932573
2018-02-01,2018-02-18,actual,51204346,california,4264449
2018-07-01,2018-07-08,actual,54802659,california,11546402
2020-09-01,2020-09-27,actual,56022215,california,5944327
2020-10-01,2020-10-25,actual,55789244,california,1974640
2019-06-01,2019-06-16,actual,43165973,california,10904000
2018-04-01,2018-04-08,actual,57742874,california,10978270
2020-03-01,2020-03-01,actual,56195818,california,9785442
2020-12-01,2020-12-27,projection,38422754,california,0
2018-10-01,2018-10-07,actual,44622910,california,1459548
2018-10-01,2018-10-28,actual,43424770,california,332800
