year_month,date,status,prod_total_volume,region,prod_volume_region
7/1/2019,7/14/2019,actual,54169319,California,12772597
11/1/2018,11/11/2018,actual,7175415,California,0
4/1/2018,4/15/2018,actual,65017211,California,13069634
10/1/2018,10/21/2018,actual,41484288,California,786902
5/1/2020,5/31/2020,actual,51667453,California,11861004
11/1/2018,11/25/2018,actual,70104497,California,0
2/1/2018,2/4/2018,actual,47371481,California,2635471
3/1/2018,3/11/2018,actual,52057338,California,6816044
3/1/2018,3/25/2018,actual,45807126,California,4997613
3/1/2019,3/3/2019,actual,56315469,California,689283
10/1/2020,10/4/2020,actual,52210342,California,3964963
12/1/2019,12/15/2019,actual,48427351,California,0
2/1/2019,2/3/2019,actual,45231823,California,225945
7/1/2018,7/29/2018,actual,49443206,California,6963066
5/1/2018,5/20/2018,actual,54804644,California,13573634
4/1/2019,4/28/2019,actual,43710990,California,9434335
6/1/2020,6/14/2020,actual,64385710,California,13344459
5/1/2019,5/12/2019,actual,45314468,California,6719247
9/1/2019,9/1/2019,actual,37090495,California,2233704
3/1/2019,3/24/2019,actual,47860338,California,1571282
8/1/2019,8/11/2019,actual,30887574,California,4205974
6/1/2018,6/17/2018,actual,50646896,California,12202533
7/1/2018,7/22/2018,actual,43482853,California,8956463
11/1/2019,11/10/2019,actual,43217649,California,0
4/1/2019,4/21/2019,actual,41226066,California,9894095
6/1/2018,6/10/2018,actual,54216347,California,12776858
1/1/2018,1/7/2018,actual,45670156,California,899349
8/1/2019,8/25/2019,actual,48325702,California,3013192
5/1/2018,5/27/2018,actual,58216425,California,14293995
7/1/2020,7/19/2020,actual,55528282,California,10130158
10/1/2019,10/6/2019,actual,48828843,California,476745
10/1/2020,10/11/2020,actual,56934734,California,2412058
4/1/2018,4/22/2018,actual,66889496,California,14568602
4/1/2018,4/1/2018,actual,39158603,California,8244614
12/1/2018,12/9/2018,actual,55009729,California,0
9/1/2018,9/23/2018,actual,49322205,California,3042322
12/1/2019,12/8/2019,actual,55662831,California,0
11/1/2020,11/8/2020,actual,42783020,California,1634969
7/1/2019,7/28/2019,actual,53521551,California,7545211
5/1/2019,5/26/2019,actual,53448347,California,11609804
3/1/2019,3/31/2019,actual,57772402,California,3431234
2/1/2019,2/24/2019,actual,60985301,California,397103
6/1/2018,6/24/2018,actual,49126245,California,11017628
11/1/2020,11/22/2020,projection,38427934,California,0
6/1/2018,6/3/2018,actual,54230134,California,9832339
8/1/2020,8/9/2020,actual,52326427,California,9553079
3/1/2020,3/8/2020,actual,47119478,California,8249788
7/1/2020,7/26/2020,actual,59549678,California,9483748
11/1/2020,11/15/2020,actual,56990553,California,1390168
8/1/2019,8/18/2019,actual,49712129,California,3864187
7/1/2018,7/1/2018,actual,59868501,California,13034205
9/1/2018,9/9/2018,actual,44091358,California,3157120
6/1/2020,6/28/2020,actual,67186115,California,15228590
10/1/2019,10/13/2019,actual,52027810,California,170248
8/1/2018,8/5/2018,actual,52948354,California,6652168
12/1/2018,12/16/2018,actual,50045775,California,1900
8/1/2018,8/26/2018,actual,48011570,California,8826173
10/1/2020,10/18/2020,actual,55367338,California,2203774
10/1/2019,10/27/2019,actual,48468039,California,0
2/1/2019,2/17/2019,actual,52838523,California,218968
1/1/2018,1/14/2018,actual,52758905,California,830821
6/1/2019,6/9/2019,actual,44060017,California,10069551
6/1/2020,6/21/2020,actual,65624404,California,13754827
11/1/2020,11/1/2020,actual,49535249,California,1314534
1/1/2019,1/27/2019,actual,59200492,California,306018
3/1/2020,3/15/2020,actual,48039847,California,3868964
12/1/2018,12/2/2018,actual,55202354,California,0
9/1/2020,9/6/2020,actual,52693480,California,8453470
1/1/2018,1/28/2018,actual,45299201,California,2698356
7/1/2019,7/7/2019,actual,51446909,California,12657672
1/1/2019,1/13/2019,actual,73115987,California,71558
11/1/2019,11/3/2019,actual,53112275,California,0
5/1/2020,5/24/2020,actual,51932040,California,16615963
11/1/2018,11/4/2018,actual,15760324,California,0
9/1/2020,9/20/2020,actual,45986305,California,6779219
2/1/2020,2/9/2020,actual,29476898,California,2489304
5/1/2019,5/19/2019,actual,50595179,California,9208998
8/1/2018,8/19/2018,actual,56452066,California,8625095
1/1/2020,1/12/2020,actual,65307572,California,319866
4/1/2020,4/12/2020,actual,24945091,California,3115152
12/1/2019,12/29/2019,actual,33408342,California,0
10/1/2018,10/14/2018,actual,43609892,California,798732
1/1/2020,1/26/2020,actual,66647112,California,2822485
4/1/2020,4/5/2020,actual,24392863,California,7933743
12/1/2018,12/23/2018,actual,47448337,California,950
1/1/2020,1/5/2020,actual,32537444,California,37220
5/1/2018,5/13/2018,actual,49634250,California,13013238
3/1/2019,3/10/2019,actual,55687317,California,563806
10/1/2019,10/20/2019,actual,45213563,California,0
3/1/2020,3/22/2020,actual,54765620,California,8086208
8/1/2020,8/2/2020,actual,61589035,California,9301142
12/1/2018,12/30/2018,actual,33740596,California,1800
9/1/2018,9/2/2018,actual,38516499,California,5955763
9/1/2018,9/30/2018,actual,39213471,California,1962416
1/1/2020,1/19/2020,actual,76375629,California,1604707
2/1/2018,2/11/2018,actual,39307402,California,3039843
6/1/2020,6/7/2020,actual,54322214,California,12247478
8/1/2020,8/30/2020,actual,48717827,California,8494500
5/1/2020,5/10/2020,actual,68814562,California,17353081
9/1/2020,9/13/2020,actual,50284383,California,5945695
2/1/2018,2/25/2018,actual,53018743,California,5031685
3/1/2020,3/29/2020,actual,36225538,California,8323661
2/1/2020,2/23/2020,actual,60175473,California,6454635
5/1/2019,5/5/2019,actual,37778586,California,7274131
1/1/2018,1/21/2018,actual,54698266,California,2913663
9/1/2019,9/15/2019,actual,51760427,California,934008
7/1/2020,7/12/2020,actual,52258875,California,11391217
12/1/2019,12/1/2019,actual,49266022,California,0
1/1/2019,1/6/2019,actual,39644522,California,0
4/1/2019,4/7/2019,actual,66309565,California,7995697
1/1/2019,1/20/2019,actual,73262502,California,35452
12/1/2020,12/6/2020,projection,52612612,California,0
3/1/2019,3/17/2019,actual,57661257,California,1115176
6/1/2019,6/23/2019,actual,43112741,California,12526752
9/1/2019,9/22/2019,actual,41138734,California,717498
5/1/2020,5/17/2020,actual,54720342,California,14715907
12/1/2019,12/22/2019,actual,49600528,California,0
7/1/2020,7/5/2020,actual,55217288,California,11780040
11/1/2019,11/17/2019,actual,41304726,California,0
4/1/2020,4/26/2020,actual,70861471,California,16932573
2/1/2018,2/18/2018,actual,51204346,California,4264449
7/1/2018,7/8/2018,actual,54802659,California,11546402
9/1/2020,9/27/2020,actual,56022215,California,5944327
10/1/2020,10/25/2020,actual,55789244,California,1974640
6/1/2019,6/16/2019,actual,43165973,California,10904000
4/1/2018,4/8/2018,actual,57742874,California,10978270
3/1/2020,3/1/2020,actual,56195818,California,9785442
12/1/2020,12/27/2020,projection,38422754,California,0
10/1/2018,10/7/2018,actual,44622910,California,1459548
10/1/2018,10/28/2018,actual,43424770,California,332800
7/1/2019,7/21/2019,actual,51585051,California,9892498
11/1/2019,11/24/2019,actual,39597532,California,0
2/1/2020,2/16/2020,actual,50713581,California,5257159
5/1/2018,5/6/2018,actual,43454036,California,13377497
3/1/2018,3/4/2018,actual,50628975,California,4863680
6/1/2019,6/30/2019,actual,38519597,California,13700507
5/1/2020,5/3/2020,actual,57343819,California,17453801
12/1/2020,12/20/2020,projection,50563073,California,0
4/1/2018,4/29/2018,actual,57879711,California,16473176
9/1/2019,9/8/2019,actual,44957024,California,1099090
12/1/2020,12/13/2020,projection,49965178,California,0
8/1/2018,8/12/2018,actual,56626601,California,7234836
2/1/2020,2/2/2020,actual,45414983,California,2704489
11/1/2018,11/18/2018,actual,44931673,California,0
9/1/2018,9/16/2018,actual,51398671,California,3782736
2/1/2019,2/10/2019,actual,39391270,California,129957
8/1/2019,8/4/2019,actual,39624707,California,5407640
7/1/2018,7/15/2018,actual,52741471,California,13081786
4/1/2020,4/19/2020,actual,65731766,California,15741055
3/1/2018,3/18/2018,actual,51922869,California,4143387
11/1/2020,11/29/2020,projection,46408984,California,0
9/1/2019,9/29/2019,actual,56281822,California,611955
6/1/2019,6/2/2019,actual,48758242,California,9115908
8/1/2020,8/16/2020,actual,45333672,California,8693483
4/1/2019,4/14/2019,actual,71757754,California,11103220
8/1/2020,8/23/2020,actual,54176904,California,7873941
7/1/2019,7/14/2019,actual,54169319,Chile,0
11/1/2018,11/11/2018,actual,7175415,Chile,2322562
4/1/2018,4/15/2018,actual,65017211,Chile,0
10/1/2018,10/21/2018,actual,41484288,Chile,2002066
5/1/2020,5/31/2020,actual,51667453,Chile,0
11/1/2018,11/25/2018,actual,70104497,Chile,1834643
2/1/2018,2/4/2018,actual,47371481,Chile,0
3/1/2018,3/11/2018,actual,52057338,Chile,0
3/1/2018,3/25/2018,actual,45807126,Chile,0
3/1/2019,3/3/2019,actual,56315469,Chile,223611
10/1/2020,10/4/2020,actual,52210342,Chile,456910
12/1/2019,12/15/2019,actual,48427351,Chile,314608
2/1/2019,2/3/2019,actual,45231823,Chile,584756
7/1/2018,7/29/2018,actual,49443206,Chile,0
5/1/2018,5/20/2018,actual,54804644,Chile,0
4/1/2019,4/28/2019,actual,43710990,Chile,0
6/1/2020,6/14/2020,actual,64385710,Chile,0
5/1/2019,5/12/2019,actual,45314468,Chile,0
9/1/2019,9/1/2019,actual,37090495,Chile,1684129
3/1/2019,3/24/2019,actual,47860338,Chile,0
8/1/2019,8/11/2019,actual,30887574,Chile,235947
6/1/2018,6/17/2018,actual,50646896,Chile,0
7/1/2018,7/22/2018,actual,43482853,Chile,0
11/1/2019,11/10/2019,actual,43217649,Chile,188154
4/1/2019,4/21/2019,actual,41226066,Chile,0
6/1/2018,6/10/2018,actual,54216347,Chile,0
1/1/2018,1/7/2018,actual,45670156,Chile,519433
8/1/2019,8/25/2019,actual,48325702,Chile,1245093
5/1/2018,5/27/2018,actual,58216425,Chile,0
7/1/2020,7/19/2020,actual,55528282,Chile,0
10/1/2019,10/6/2019,actual,48828843,Chile,2628545
10/1/2020,10/11/2020,actual,56934734,Chile,405483
4/1/2018,4/22/2018,actual,66889496,Chile,0
