YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
2010-01,6.48,45.2,0.67,-2.02,2.0,-1.14,0,491,0.94,0.6,0.15,0.25,0.34,0.08,-1.22,36.6,53.7
2010-02,3.65,46.8,0.66,-1.75,0.2,-0.76,0,436,0.15,0.7,0.49,0.23,0.23,-0.11,-1.05,37.5,56.1
2010-03,2.19,49.0,0.22,-1.94,-1.12,-1.36,0,420,-0.36,-0.17,0.41,0.14,0.05,-0.05,-0.88,37.2,60.9
2010-04,3.47,50.9,1.22,-0.72,3.06,1.03,1,388,1.46,0.52,0.35,0.31,0.37,0.44,-0.49,39.0,62.8
2010-05,1.07,56.9,1.5,1.5,1.22,1.5,14,247,0.49,1.39,0.55,0.6,0.42,0.42,-0.43,44.0,69.8
2010-06,0.26,69.1,1.93,1.93,1.77,1.93,100,55,-0.05,0.33,1.31,0.72,0.45,0.37,-0.39,55.1,83.2
2010-07,0.07,76.1,1.94,1.94,0.62,1.94,213,6,-0.88,-0.47,0.19,0.36,0.31,0.37,-0.4,61.2,91.0
2010-08,0.1,73.4,1.53,1.53,-0.64,1.16,193,9,-0.67,-1.19,-0.81,0.44,0.56,0.37,-0.4,58.2,88.6
2010-09,0.16,70.4,1.04,1.04,-0.99,0.15,154,20,-0.58,-0.92,-1.2,1.01,0.64,0.38,-0.39,54.9,86.0
2010-10,3.0,60.5,1.99,1.99,3.17,1.99,28,140,1.66,1.45,1.32,1.21,0.64,0.51,-0.12,49.1,71.9
2010-11,2.6,48.6,1.84,1.84,0.17,1.84,0,393,0.23,0.99,0.89,0.75,0.78,0.74,-0.09,37.6,59.6
2010-12,8.13,45.8,3.14,3.14,4.47,3.14,0,481,1.72,1.43,1.8,1.66,1.98,1.44,0.49,37.7,53.8
2011-01,1.28,45.2,1.98,1.98,-2.53,0.89,0,481,-1.25,0.55,0.47,0.76,0.74,0.74,0.47,34.6,55.7
2011-02,3.34,43.4,1.82,1.82,0.13,0.77,0,523,0.03,-0.82,0.39,0.62,0.56,0.67,0.32,32.3,54.6
2011-03,6.41,48.7,3.03,3.03,4.21,3.03,1,436,1.48,0.92,0.14,1.11,1.04,1.28,0.79,38.6,58.9
2011-04,1.1,53.4,2.47,2.47,-0.73,2.11,9,311,-0.32,1.12,0.73,0.76,0.94,0.92,0.84,41.1,65.7
2011-05,1.44,57.6,2.82,2.82,1.79,2.82,16,240,0.94,0.17,1.23,0.86,1.02,0.98,0.87,44.8,70.3
2011-06,0.92,66.9,3.42,3.42,2.67,3.42,72,80,1.75,1.43,0.55,0.25,1.11,1.06,0.9,53.3,80.5
2011-07,0.22,74.2,3.84,3.84,2.31,3.84,217,4,0.55,1.76,1.49,0.98,0.92,1.07,0.93,60.0,88.4
2011-08,0.1,75.2,3.5,3.5,0.17,3.5,236,3,-0.67,-0.18,1.29,1.34,0.93,1.07,0.93,59.8,90.5
2011-09,0.28,72.2,-0.21,2.93,-0.62,2.62,180,12,-0.09,-0.48,-0.34,0.4,0.22,1.08,0.95,57.3,87.2
2011-10,1.54,61.4,-0.08,2.73,0.31,2.49,43,118,0.53,0.31,0.17,1.08,0.94,0.91,0.88,48.4,74.3
2011-11,1.69,48.2,-0.45,2.08,-1.11,1.34,0,401,-0.37,-0.12,-0.19,0.08,0.99,0.78,0.96,37.5,58.9
2011-12,0.47,42.8,-1.63,0.64,-3.68,-1.53,0,573,-1.79,-1.44,-1.19,-1.32,-0.98,-0.52,0.69,30.6,55.0
2012-01,3.12,46.5,-2.27,-2.27,-2.42,-2.27,4,445,-0.21,-1.24,-1.25,-1.2,-0.85,-0.23,0.27,34.4,58.6
2012-02,1.22,46.5,-3.18,-3.18,-3.44,-3.18,0,438,-1.1,-0.92,-1.74,-1.6,-1.46,-0.63,0.0,35.0,58.0
2012-03,4.74,48.8,-2.31,-2.31,1.61,-1.6,1,446,0.88,-0.13,-0.3,-1.02,-1.09,-0.91,0.29,37.3,60.4
2012-04,2.48,55.8,-1.74,-1.74,1.01,-0.59,13,273,0.87,1.03,0.12,-0.87,-0.83,-0.57,0.19,43.1,68.4
2012-05,0.2,63.9,-1.96,-1.96,-1.19,-1.25,54,130,-1.43,0.28,0.78,-0.89,-0.94,-0.83,0.1,49.2,78.6
2012-06,0.32,69.3,-1.86,-1.86,-0.3,-1.22,108,51,0.18,-1.12,0.24,-0.24,-0.89,-0.95,0.11,54.3,84.3
2012-07,0.26,74.7,-1.74,-1.74,-0.24,-1.16,211,4,0.82,0.39,-0.93,-0.04,-0.99,-0.94,0.13,59.7,89.6
2012-08,0.3,77.8,-1.58,-1.58,-0.06,-0.99,334,0,0.58,0.79,0.46,0.81,-0.84,-0.9,0.17,62.7,92.8
2012-09,0.1,73.1,-1.89,-1.89,-1.39,-1.68,232,7,-0.96,-0.41,-0.19,0.13,-0.26,-0.93,0.15,57.8,88.3
2012-10,0.99,62.2,-1.97,-1.97,-0.85,-1.97,56,99,-0.06,-0.47,-0.38,-0.99,-0.18,-1.08,-0.09,48.9,75.4
2012-11,3.57,52.5,0.24,-1.53,0.73,-1.12,7,290,0.75,0.55,0.4,0.46,0.79,-0.73,0.03,41.4,63.6
2012-12,6.15,43.0,1.08,1.08,2.59,1.08,0,558,1.1,1.16,1.02,0.99,0.96,0.29,-0.21,34.3,51.8
2013-01,1.19,42.1,-0.8,-0.8,-2.39,-0.8,0,574,-1.31,0.02,0.22,0.11,-0.04,-0.06,-0.28,31.0,53.2
2013-02,0.58,45.3,-1.66,-1.66,-2.84,-1.66,0,475,-1.59,-2.23,-0.76,-0.57,-0.54,-0.18,-0.55,33.1,57.6
2013-03,1.33,53.8,-2.43,-2.43,-2.84,-2.43,8,317,-0.99,-1.97,-2.37,-0.78,-0.82,-0.77,-1.17,41.0,66.5
2013-04,0.71,58.2,-2.83,-2.83,-1.95,-2.83,22,219,-0.85,-1.4,-2.17,-0.91,-0.99,-1.11,-1.2,44.7,71.7
