,date,avg_price,geography,type,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax,year,month
0,2017-01-08,0.78,Dallas/FtWorth,conventional,556814.8,343124.23,2551.41,341681.22,3247.62,69.32,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
1,2017-01-08,1.74,Atlanta,organic,1456.0,5316.57,0.0,0.0,1471.6,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
2,2017-01-22,1.51,Chicago,organic,52.69,43587.09,0.0,3921.25,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
3,2017-01-02,1.79,GrandRapids,organic,84.21,738.23,0.0,263.33,10.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
4,2017-01-22,0.74,SouthCentral,conventional,4020198.09,957479.68,23685.51,1066264.87,128528.14,11482.21,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
5,2017-01-08,1.4,Miami/FtLauderdale,conventional,209904.22,121128.25,293.18,85738.78,105206.85,6.94,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
6,2017-01-02,1.46,StLouis,organic,1662.86,413.93,0.0,716.11,3057.9,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
7,2017-01-02,1.4,Houston,organic,7550.89,58.71,0.0,2499.86,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
8,2017-01-22,1.04,Roanoke,conventional,48905.14,46802.42,142.99,66764.36,883.94,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
9,2017-01-29,1.0,StLouis,conventional,80253.19,15081.96,159.98,63464.66,33402.39,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
10,2017-01-29,1.49,Phoenix/Tucson,organic,4218.73,4389.86,0.0,5789.71,20.92,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
11,2017-01-08,1.1,NewOrleans/Mobile,conventional,124108.53,31296.37,316.0,52403.61,13645.16,9115.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
12,2017-01-29,1.48,Philadelphia,conventional,27673.88,248553.08,20098.48,114418.84,10028.59,543.78,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
13,2017-01-29,0.95,Atlanta,conventional,285147.95,86150.35,219.79,177033.34,79144.36,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
14,2017-01-02,1.18,Raleigh/Greensboro,conventional,74754.07,125855.56,13633.95,66525.85,2664.58,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
15,2017-01-22,1.23,Jacksonville,organic,296.3,67.34,20.81,1396.67,3183.38,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
16,2017-01-02,1.21,Miami/FtLauderdale,organic,290.61,20.17,0.0,1970.0,2972.72,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
17,2017-01-02,0.91,Denver,organic,4103.45,775.73,5.71,3485.79,13078.69,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
18,2017-01-08,1.52,GrandRapids,organic,108.05,1992.56,0.0,550.0,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
19,2017-01-29,1.18,Roanoke,organic,339.58,3824.05,0.0,1293.27,2475.65,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
20,2017-01-08,1.85,Baltimore/Washington,organic,1325.19,7679.48,444.8,8534.42,5.54,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
21,2017-01-02,1.11,Richmond/Norfolk,conventional,82444.88,85577.58,5485.61,65961.19,1104.32,179.17,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
22,2017-01-08,1.48,SouthCarolina,organic,304.42,3669.2,222.07,4469.22,887.18,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
23,2017-01-02,1.06,Dallas/FtWorth,organic,4110.67,312.11,0.0,11137.36,109.7,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
24,2017-01-22,1.06,Boise,organic,3.0,450.57,0.0,639.29,1990.52,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
25,2017-01-22,2.03,SanFrancisco,organic,8435.86,9045.98,2.86,2957.23,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
26,2017-01-15,2.09,NewYork,organic,6002.05,18195.1,117.02,17791.92,127.16,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
27,2017-01-29,1.32,Boston,conventional,5792.32,464828.97,6111.1,126000.39,1373.34,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
28,2017-01-22,1.01,Boise,conventional,34251.49,5626.82,8313.98,34932.06,5155.3,38.08,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
29,2017-01-22,0.84,Atlanta,conventional,320378.0,135920.57,179.13,177899.15,121095.24,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
30,2017-01-02,1.11,StLouis,conventional,90181.75,10226.35,212.85,39615.42,4087.33,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
31,2017-01-02,2.44,Hartford/Springfield,organic,152.32,7697.1,12.35,3947.64,167.72,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3,2017,Jan
