,date,avg_price,geography,units_4046,units_4225,units_4770,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
0,2017-01-08,1.74,Atlanta,1456.0,5316.57,0.0,0.0,1471.6,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
1,2017-01-22,1.51,Chicago,52.69,43587.09,0.0,3921.25,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
2,2017-01-02,1.79,GrandRapids,84.21,738.23,0.0,263.33,10.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
3,2017-01-02,1.46,StLouis,1662.86,413.93,0.0,716.11,3057.9,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
4,2017-01-02,1.4,Houston,7550.89,58.71,0.0,2499.86,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
5,2017-01-29,1.49,Phoenix/Tucson,4218.73,4389.86,0.0,5789.71,20.92,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
6,2017-01-22,1.23,Jacksonville,296.3,67.34,20.81,1396.67,3183.38,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
7,2017-01-02,1.21,Miami/FtLauderdale,290.61,20.17,0.0,1970.0,2972.72,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
8,2017-01-02,0.91,Denver,4103.45,775.73,5.71,3485.79,13078.69,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
9,2017-01-08,1.52,GrandRapids,108.05,1992.56,0.0,550.0,0.0,0.0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34.0,50.3
