,date,avg_price,conv_pred,geography
7418,1/6/2020,0.92,1.158756218,Albany
7359,1/6/2020,0.89,1.072947278,Atlanta
7400,1/6/2020,1.13,1.103850107,Baltimore/Washington
7464,1/6/2020,1.09,1.08963685,Boise
7492,1/6/2020,1.18,1.064242067,Boston
7383,1/6/2020,1.15,1.076588135,Buffalo/Rochester
7432,1/6/2020,1.04,1.11826756,Charlotte
7350,1/6/2020,1.08,1.103817272,Chicago
7393,1/6/2020,0.73,1.09427928,Cincinnati/Dayton
7353,1/6/2020,0.73,1.060257387,Columbus
7434,1/6/2020,0.71,1.082714329,Dallas/FtWorth
7428,1/6/2020,0.95,1.100831385,Denver
7394,1/6/2020,0.82,1.138322878,Detroit
7363,1/6/2020,1.13,1.095762939,GrandRapids
7520,1/6/2020,0.89,1.082929854,GreatLakes
7532,1/6/2020,0.99,1.102022572,Harrisburg/Scranton
7384,1/6/2020,1.38,1.090823107,Hartford/Springfield
7365,1/6/2020,0.7,1.099248695,Houston
7443,1/6/2020,0.76,1.082046719,Indianapolis
7507,1/6/2020,0.9,1.090842199,Jacksonville
7392,1/6/2020,0.92,1.111745405,LasVegas
7378,1/6/2020,1.05,1.13523345,LosAngeles
7469,1/6/2020,0.91,1.084451804,Louisville
7451,1/6/2020,0.9,1.134019604,Miami/FtLauderdale
7493,1/6/2020,0.82,1.105155954,Nashville
7429,1/6/2020,0.86,1.152902985,NewOrleans/Mobile
7502,1/6/2020,1.41,1.105506859,NewYork
7452,1/6/2020,0.83,1.064376869,NorthernNewEngland
7472,1/6/2020,0.87,1.070842848,Orlando
7495,1/6/2020,1.17,1.099750557,Philadelphia
7362,1/6/2020,0.75,1.0849298,Phoenix/Tucson
7504,1/6/2020,1.2,1.144403858,Pittsburgh
7447,1/6/2020,0.99,1.099427137,Plains
7388,1/6/2020,0.97,1.105806675,Portland
7369,1/6/2020,1.02,1.017359657,Raleigh/Greensboro
7456,1/6/2020,0.83,1.101141324,Richmond/Norfolk
7414,1/6/2020,0.8,1.12913065,Roanoke
7382,1/6/2020,1.14,1.119768476,Sacramento
7403,1/6/2020,1.1,1.073344288,SanDiego
7427,1/6/2020,1.34,1.119090271,SanFrancisco
7436,1/6/2020,1.24,1.083968983,Seattle
7449,1/6/2020,0.94,1.137258205,SouthCarolina
7373,1/6/2020,0.76,1.134993219,SouthCentral
7441,1/6/2020,1.03,1.082446823,Spokane
7528,1/6/2020,1.01,1.091446238,StLouis
7404,1/6/2020,1.05,1.153819218,Syracuse
7521,1/6/2020,0.87,1.095033226,Tampa
7473,1/6/2020,0.88,1.121420612,WestTex/NewMexico
7514,1/12/2020,0.97,1.097574844,Albany
7455,1/12/2020,0.88,1.146210833,Atlanta
7527,1/12/2020,1.26,1.071187668,Baltimore/Washington
7376,1/12/2020,1.02,1.112671499,Boise
7488,1/12/2020,1.27,1.094284,Boston
7419,1/12/2020,1,1.056234312,Buffalo/Rochester
7413,1/12/2020,1.11,1.083010893,Charlotte
7461,1/12/2020,1.36,1.103224773,Chicago
7497,1/12/2020,0.74,1.09384655,Cincinnati/Dayton
7355,1/12/2020,0.74,1.155787587,Columbus
7498,1/12/2020,0.72,1.129705315,Dallas/FtWorth
7430,1/12/2020,1.07,1.063285551,Denver
7401,1/12/2020,0.8,1.096807628,Detroit
7486,1/12/2020,1.43,1.098942165,GrandRapids
