,date,avg_price,org_pred,geography
7356,1/6/2020,1.47,1.590495741,Albany
7374,1/6/2020,1.33,1.34292241,Atlanta
7527,1/6/2020,1.36,1.571177298,Baltimore/Washington
7446,1/6/2020,1.95,1.544493873,Boise
7517,1/6/2020,1.7,1.309850652,Boston
7430,1/6/2020,1.13,1.532489399,Buffalo/Rochester
7371,1/6/2020,1.5,1.487520156,Charlotte
7474,1/6/2020,1.11,1.492448558,Chicago
7410,1/6/2020,1.2,1.521730307,Cincinnati/Dayton
7462,1/6/2020,1.19,1.401490301,Columbus
7365,1/6/2020,1.25,1.576464174,Dallas/FtWorth
7445,1/6/2020,1.5,1.421442135,Denver
7478,1/6/2020,1.31,1.349216771,Detroit
7399,1/6/2020,1.26,1.59564699,GrandRapids
7434,1/6/2020,1.17,1.482613313,GreatLakes
7435,1/6/2020,1.21,1.605778305,Harrisburg/Scranton
7487,1/6/2020,2,1.653933538,Hartford/Springfield
7459,1/6/2020,1.59,1.585125633,Houston
7397,1/6/2020,1.23,1.286943974,Indianapolis
7522,1/6/2020,1.21,1.356524231,Jacksonville
7364,1/6/2020,1.3,1.413360938,LasVegas
7511,1/6/2020,1.56,1.510403158,LosAngeles
7386,1/6/2020,0.92,1.589969828,Louisville
7382,1/6/2020,1.19,1.470725185,Miami/FtLauderdale
7414,1/6/2020,1.14,1.380107258,Nashville
7417,1/6/2020,1.35,1.56209602,NewOrleans/Mobile
7363,1/6/2020,1.56,1.526479636,NewYork
7532,1/6/2020,1.56,1.488172747,NorthernNewEngland
7458,1/6/2020,1.14,1.555905393,Orlando
7499,1/6/2020,1.45,1.455436763,Philadelphia
7451,1/6/2020,1.35,1.55814329,Phoenix/Tucson
7375,1/6/2020,1.23,1.490070884,Pittsburgh
7436,1/6/2020,1.35,1.552478739,Plains
7424,1/6/2020,1.6,1.479888556,Portland
7380,1/6/2020,1.87,1.550898315,Raleigh/Greensboro
7398,1/6/2020,0.94,1.511362885,Richmond/Norfolk
7419,1/6/2020,0.87,1.363006535,Roanoke
7393,1/6/2020,1.75,1.315340441,Sacramento
7408,1/6/2020,1.63,1.54703321,SanDiego
7456,1/6/2020,1.98,1.326007514,SanFrancisco
7425,1/6/2020,1.59,1.485726974,Seattle
7350,1/6/2020,1.55,1.557007825,SouthCarolina
7519,1/6/2020,1.34,1.483803859,SouthCentral
7383,1/6/2020,1.73,1.514834286,Spokane
7433,1/6/2020,2.07,1.532506973,StLouis
7472,1/6/2020,1.17,1.604709881,Syracuse
7457,1/6/2020,1.15,1.550932486,Tampa
7346,1/6/2020,1.29,1.574171196,WestTex/NewMexico
7426,1/12/2020,1.48,1.579180715,Albany
7423,1/12/2020,1.23,1.342419033,Atlanta
7353,1/12/2020,1.24,1.306892634,Baltimore/Washington
7452,1/12/2020,1.62,1.498917682,Boise
7502,1/12/2020,1.61,1.372556368,Boston
7441,1/12/2020,1.13,1.450931678,Buffalo/Rochester
7366,1/12/2020,1.66,1.520961778,Charlotte
7412,1/12/2020,1.54,1.535142803,Chicago
7469,1/12/2020,1.08,1.378074145,Cincinnati/Dayton
7344,1/12/2020,1.17,1.322376564,Columbus
7470,1/12/2020,1.29,1.546545781,Dallas/FtWorth
7391,1/12/2020,1.05,1.58866668,Denver
7439,1/12/2020,1.35,1.347398286,Detroit
7485,1/12/2020,1.24,1.616663342,GrandRapids
7471,1/12/2020,1.34,1.520184461,GreatLakes
7497,1/12/2020,1.06,1.353720229,Harrisburg/Scranton
7358,1/12/2020,2.04,1.532358327,Hartford/Springfield
7460,1/12/2020,1.53,1.545045089,Houston
7394,1/12/2020,1.13,1.551382083,Indianapolis
7361,1/12/2020,1.2,1.306153882,Jacksonville
7347,1/12/2020,1.36,1.570954615,LasVegas
7440,1/12/2020,1.78,1.563804099,LosAngeles
7518,1/12/2020,1.05,1.506385666,Louisville
7492,1/12/2020,1.18,1.607322524,Miami/FtLauderdale
7428,1/12/2020,1.22,1.539165096,Nashville
7362,1/12/2020,1.28,1.512752845,NewOrleans/Mobile
7444,1/12/2020,1.59,1.603306903,NewYork
7377,1/12/2020,1.5,1.520422847,NorthernNewEngland
7520,1/12/2020,1.13,1.524444814,Orlando
7349,1/12/2020,1.37,1.279223935,Philadelphia
7370,1/12/2020,1.39,1.545189422,Phoenix/Tucson
7453,1/12/2020,1.19,1.464270543,Pittsburgh
7488,1/12/2020,1.29,1.592915723,Plains
7381,1/12/2020,1.59,1.560443998,Portland
7450,1/12/2020,2.08,1.310623982,Raleigh/Greensboro
7530,1/12/2020,1.21,1.433339132,Richmond/Norfolk
7475,1/12/2020,1.05,1.594497043,Roanoke
7427,1/12/2020,1.73,1.507969589,Sacramento
7402,1/12/2020,1.8,1.55597463,SanDiego
7407,1/12/2020,2.03,1.322839017,SanFrancisco
7431,1/12/2020,1.81,1.583159154,Seattle
7483,1/12/2020,1.51,1.307392512,SouthCarolina
7466,1/12/2020,1.35,1.35679451,SouthCentral
7357,1/12/2020,1.37,1.520127834,Spokane
7531,1/12/2020,1.95,1.588593374,StLouis
7504,1/12/2020,1.2,1.545056073,Syracuse
7359,1/12/2020,1.15,1.598120182,Tampa
7447,1/12/2020,1.34,1.48382241,WestTex/NewMexico
7406,1/19/2020,1.51,1.38330952,Albany
7348,1/19/2020,1.17,1.569840385,Atlanta
7415,1/19/2020,1.12,1.486419187,Baltimore/Washington
7516,1/19/2020,1.75,1.358526835,Boston
7463,1/19/2020,1.24,1.57485926,Buffalo/Rochester
7418,1/19/2020,1.6,1.538960637,Charlotte
7442,1/19/2020,1.51,1.582215862,Chicago
7465,1/19/2020,1.09,1.354339218,Cincinnati/Dayton
7480,1/19/2020,0.96,1.291299274,Columbus
7514,1/19/2020,0.94,1.51973584,Denver
7496,1/19/2020,0.98,1.281467121,Detroit
7422,1/19/2020,1.26,1.550657651,GrandRapids
7529,1/19/2020,1.18,1.587569373,GreatLakes
7477,1/19/2020,0.92,1.345670274,Harrisburg/Scranton
7461,1/19/2020,1.82,1.537764478,Hartford/Springfield
7476,1/19/2020,1.53,1.566479145,Houston
7505,1/19/2020,1.08,1.529571817,Indianapolis
7449,1/19/2020,1.2,1.618671315,Jacksonville
7490,1/19/2020,1.34,1.600422191,LasVegas
7495,1/19/2020,1.8,1.601331962,LosAngeles
7479,1/19/2020,1.12,1.561133283,Louisville
7372,1/19/2020,1.18,1.550362394,Miami/FtLauderdale
7396,1/19/2020,1.26,1.583781967,Nashville
7455,1/19/2020,1.26,1.543976746,NewOrleans/Mobile
7437,1/19/2020,1.39,1.549724366,NewYork
7405,1/19/2020,1.57,1.565156714,NorthernNewEngland
7384,1/19/2020,1.14,1.55115761,Orlando
7464,1/19/2020,1.23,1.386918258,Philadelphia
7482,1/19/2020,1.37,1.352828763,Phoenix/Tucson
7500,1/19/2020,1.1,1.556116116,Pittsburgh
7413,1/19/2020,1.21,1.595291608,Plains
7524,1/19/2020,1.58,1.339691591,Portland
7521,1/19/2020,1.97,1.58008056,Raleigh/Greensboro
7387,1/19/2020,1.54,1.487646508,Richmond/Norfolk
7501,1/19/2020,1.08,1.317646762,Roanoke
7373,1/19/2020,1.73,1.313040791,Sacramento
7392,1/19/2020,1.79,1.589080966,SanDiego
7515,1/19/2020,2.03,1.376024515,SanFrancisco
7507,1/19/2020,1.49,1.547584915,Seattle
7360,1/19/2020,1.61,1.547613066,SouthCarolina
7352,1/19/2020,1.33,1.527058352,SouthCentral
7438,1/19/2020,1.62,1.261253389,Spokane
7420,1/19/2020,1.3,1.580388997,StLouis
7523,1/19/2020,1.27,1.521687675,Syracuse
7481,1/19/2020,1.15,1.371118405,Tampa
7468,1/19/2020,1.32,1.564734861,WestTex/NewMexico
7503,1/26/2020,1.55,1.501334897,Albany
7513,1/26/2020,1.3,1.569761221,Atlanta
7400,1/26/2020,1.18,1.548832901,Baltimore/Washington
