year_month,geography,segment,variety,timeframe,period,date,units_prior_year,units_current_year,unit_variance,dollars_prior_year,dollars_current_year,dollar_variance,avg_price_prior_year,avg_price_current_year,avg_price_variance
2018-01,Albany,avocados,hass,last 04 wks,1,2018-01-28,414997.59,441313.06,0.063411139,526144.34,560090.98,0.064519634,1.267825049,1.269146623,0.001042395
2018-02,Albany,avocados,hass,last 04 wks,2,2018-02-25,474327.41,545814.07,0.150711636,643283.21,727521.8,0.130951016,1.356200794,1.332911407,-0.017172521
2018-03,Albany,avocados,hass,last 04 wks,3,2018-03-25,428197.68,545890.39,0.27485602,536982.97,630076.44,0.173363915,1.254053899,1.154217864,-0.079610641
2018-04,Albany,avocados,hass,last 04 wks,4,2018-04-22,388241.62,561508.32,0.44628574299999996,557034.31,618994.11,0.111231568,1.434761966,1.10237745,-0.231665268
2018-05,Albany,avocados,hass,last 04 wks,5,2018-05-20,473973.05,663024.4,0.398865189,587504.68,687736.85,0.17060659,1.239531826,1.037272309,-0.163174122
2018-06,Albany,avocados,hass,last 04 wks,6,2018-06-17,415443.67,649125.39,0.562487136,624191.9,703516.41,0.12708353,1.5024706,1.0837912379999999,-0.278660602
2018-07,Albany,avocados,hass,last 04 wks,7,2018-07-15,413702.81,553999.33,0.339123923,577960.35,690191.88,0.194185518,1.39704236,1.245835225,-0.108233751
2018-08,Albany,avocados,hass,last 04 wks,8,2018-08-12,417671.3,580631.47,0.39016367700000004,572604.86,668950.65,0.168258771,1.370946148,1.152108841,-0.159625021
2018-09,Albany,avocados,hass,last 04 wks,9,2018-09-09,347638.75,489044.1,0.406759459,525601.1,642423.04,0.22226350000000003,1.511917472,1.31363008,-0.131149614
2018-10,Albany,avocados,hass,last 04 wks,10,2018-10-07,309351.58,394508.22,0.27527462399999997,492890.59,532122.5,0.079595575,1.59330232,1.348824874,-0.153440714
2018-11,Albany,avocados,hass,last 04 wks,11,2018-11-04,296886.48,389242.22,0.31108099,478452.4,512395.95,0.070944466,1.611566818,1.316393556,-0.18315918399999997
2018-12,Albany,avocados,hass,last 04 wks,12,2018-12-02,419403.47,357275.95,-0.14813306099999998,492424.75,487996.27,-0.008993211999999999,1.174107477,1.365880547,0.163335192
2018-12,Albany,avocados,hass,last 04 wks,13,2018-12-30,365907.97,438726.68,0.199008264,516383.34,522607.51,0.01205339,1.4112382959999998,1.191191541,-0.155924592
2018-01,Atlanta,avocados,hass,last 04 wks,1,2018-01-28,2254676.72,2657566.19,0.17869057100000002,2477949.24,2858548.7,0.153594534,1.099026401,1.07562653,-0.021291453999999998
2018-02,Atlanta,avocados,hass,last 04 wks,2,2018-02-25,2542054.13,2866184.94,0.127507438,2408064.44,2723822.22,0.131125137,0.94729078,0.950330239,0.003208581
2018-03,Atlanta,avocados,hass,last 04 wks,3,2018-03-25,1746614.74,2727814.6,0.561772346,2462350.38,2783083.09,0.1302547,1.409784495,1.020261087,-0.276299966
2018-04,Atlanta,avocados,hass,last 04 wks,4,2018-04-22,1851796.79,2940961.1,0.588166216,2626175.21,2874553.53,0.09457797,1.4181767809999999,0.9774197729999999,-0.310791302
2018-05,Atlanta,avocados,hass,last 04 wks,5,2018-05-20,2277055.68,3536468.96,0.553088487,3028288.17,3269632.75,0.07969670200000001,1.329913975,0.9245472779999999,-0.304806705
2018-06,Atlanta,avocados,hass,last 04 wks,6,2018-06-17,2135084.61,3083727.81,0.44431176,2892568.22,3073512.18,0.062554777,1.3547791999999999,0.996687247,-0.264317576
2018-07,Atlanta,avocados,hass,last 04 wks,7,2018-07-15,2088769.99,3041629.92,0.456182315,2752210.54,2941451.31,0.068759554,1.317622598,0.967064169,-0.266053747
2018-08,Atlanta,avocados,hass,last 04 wks,8,2018-08-12,2119553.69,2874372.92,0.35612177899999997,2849448.7,2867048.49,0.00617656,1.3443625959999999,0.997451816,-0.25804852100000003
2018-09,Atlanta,avocados,hass,last 04 wks,9,2018-09-09,1942931.14,2817882.27,0.450325342,2980728.81,3066974.11,0.028934299,1.5341402219999998,1.088396823,-0.29054932
2018-10,Atlanta,avocados,hass,last 04 wks,10,2018-10-07,1714352.41,2777455.06,0.620119086,2741457.54,2950289.23,0.076175424,1.59912135,1.062227531,-0.335743012
2018-11,Atlanta,avocados,hass,last 04 wks,11,2018-11-04,1955468.43,2728867.51,0.39550578700000005,2661602.43,2608739.87,-0.019861178,1.361107338,0.95597894,-0.297646179
2018-12,Atlanta,avocados,hass,last 04 wks,12,2018-12-02,1948010.89,2168627.57,0.11325228300000001,2177644.55,2257464.1,0.036654077,1.117881097,1.0409644009999999,-0.068805793
2018-12,Atlanta,avocados,hass,last 04 wks,13,2018-12-30,2177523.25,2579433.49,0.184572192,2218274.79,2485497.92,0.120464395,1.018714629,0.9635828679999999,-0.054118945
2018-01,Baltimore/Washington,avocados,hass,last 04 wks,1,2018-01-28,3580774.31,4030339.16,0.125549619,4719902.49,5218072.49,0.105546672,1.318123423,1.294698109,-0.017771715
2018-02,Baltimore/Washington,avocados,hass,last 04 wks,2,2018-02-25,3854974.22,3937254.03,0.021343802999999998,4764127.7,5190680.32,0.08953425400000001,1.2358390559999999,1.318350373,0.066765423
2018-03,Baltimore/Washington,avocados,hass,last 04 wks,3,2018-03-25,3380052.91,4179901.98,0.236638032,4932859.98,5223116.33,0.058841392,1.4594031840000001,1.249578664,-0.143774197
2018-04,Baltimore/Washington,avocados,hass,last 04 wks,4,2018-04-22,3255836.7,3901925.01,0.19844002300000002,5125856.21,5243283.72,0.022908857999999997,1.574359122,1.3437684490000001,-0.146466375
2018-05,Baltimore/Washington,avocados,hass,last 04 wks,5,2018-05-20,3593499.36,4961701.43,0.38074365200000004,5496730.47,5865048.67,0.067006778,1.5296316819999998,1.1820640059999998,-0.227223115
2018-06,Baltimore/Washington,avocados,hass,last 04 wks,6,2018-06-17,3267631.29,4326340.69,0.32399904,5485354.08,5813099.18,0.059749124,1.678694318,1.343652661,-0.19958467300000002
2018-07,Baltimore/Washington,avocados,hass,last 04 wks,7,2018-07-15,3136114.53,3895250.47,0.24206256899999998,4788883.73,5489140.66,0.146225503,1.527011748,1.4091881130000001,-0.077159612
2018-08,Baltimore/Washington,avocados,hass,last 04 wks,8,2018-08-12,3081050.35,3727815.92,0.209917235,4490113.71,4947253.47,0.101810286,1.4573321430000001,1.327118499,-0.089350698
2018-09,Baltimore/Washington,avocados,hass,last 04 wks,9,2018-09-09,3014148.39,3789971.19,0.257393698,4765131.09,4989543.77,0.047094755,1.5809212,1.3165123220000001,-0.16724987800000002
2018-10,Baltimore/Washington,avocados,hass,last 04 wks,10,2018-10-07,3024911.14,3371876.76,0.11470274800000001,4797552.42,4739589.41,-0.012081788000000001,1.586014332,1.405623558,-0.11373842599999999
2018-11,Baltimore/Washington,avocados,hass,last 04 wks,11,2018-11-04,2922338.1,3378869.1,0.156221144,4585043.78,4562693.8,-0.00487454,1.5689641730000001,1.35036122,-0.139329474
2018-12,Baltimore/Washington,avocados,hass,last 04 wks,12,2018-12-02,2751780.32,2687772.08,-0.023260665,4035892.16,3967618.61,-0.016916594,1.4666476569999998,1.476173757,0.006495152
2018-12,Baltimore/Washington,avocados,hass,last 04 wks,13,2018-12-30,3218439.06,3104652.73,-0.035354508,4084419.37,4222674.62,0.033849426,1.2690684190000001,1.360111738,0.07174027599999999
2018-01,Boise,avocados,hass,last 04 wks,1,2018-01-28,318501.04,400567.51,0.257664685,395653.01,484036.99,0.223387609,1.2422345940000001,1.2083780579999999,-0.027254542000000003
2018-02,Boise,avocados,hass,last 04 wks,2,2018-02-25,360634.74,424105.2,0.175996522,432121.15,485021.91,0.122421131,1.198223859,1.143635848,-0.04555744
2018-03,Boise,avocados,hass,last 04 wks,3,2018-03-25,320161.06,384221.14,0.200087044,435254.47,461027.05,0.059212672,1.3594859719999999,1.199900271,-0.117386795
2018-04,Boise,avocados,hass,last 04 wks,4,2018-04-22,319512.72,456868.51,0.42989146100000003,458639.83,529473.29,0.15444245199999998,1.4354352780000001,1.158918329,-0.192636306
2018-05,Boise,avocados,hass,last 04 wks,5,2018-05-20,345940.46,517106.88,0.494785779,487376.66,571857.72,0.173338338,1.4088454990000001,1.1058791559999999,-0.215045825
2018-06,Boise,avocados,hass,last 04 wks,6,2018-06-17,331159.1,458425.05,0.384304553,495935.2,544923.04,0.09877871099999999,1.497573825,1.18868513,-0.206259411
2018-07,Boise,avocados,hass,last 04 wks,7,2018-07-15,341151.18,457134.17,0.339975345,487717.56,556829.14,0.141704104,1.429622961,1.218086891,-0.147966335
2018-08,Boise,avocados,hass,last 04 wks,8,2018-08-12,297397.99,403269.58,0.35599295700000005,460472.86,525497.44,0.14121262199999998,1.548338844,1.30309219,-0.1583934
2018-09,Boise,avocados,hass,last 04 wks,9,2018-09-09,318189.61,350004.33,0.099986671,484238.93,521483.59,0.076913808,1.5218565119999998,1.489934682,-0.020975585
2018-10,Boise,avocados,hass,last 04 wks,10,2018-10-07,241290.77,316039.22,0.309785783,438432.78,436141.14,-0.00522689,1.817030879,1.3800222009999998,-0.24050701800000002
2018-11,Boise,avocados,hass,last 04 wks,11,2018-11-04,297420.96,343709.5,0.15563308,437632.58,432556.44,-0.011599091,1.4714248109999999,1.258494281,-0.144710439
2018-12,Boise,avocados,hass,last 04 wks,12,2018-12-02,292197.25,276906.82,-0.052329137000000005,378665.43,391303.19,0.033374475,1.2959240029999999,1.413122255,0.090436053
2018-12,Boise,avocados,hass,last 04 wks,13,2018-12-30,313897.14,355372.34,0.132129907,369825.44,434950.17,0.17609586300000002,1.1781739709999999,1.223928036,0.038834727
2018-01,Boston,avocados,hass,last 04 wks,1,2018-01-28,2627079.96,3132006.25,0.19220057899999998,3285585.89,3931595.96,0.19661944399999998,1.250660787,1.255296333,0.003706477
2018-02,Boston,avocados,hass,last 04 wks,2,2018-02-25,2679154.69,2723635.72,0.016602636,3282933.16,3863481.98,0.176838453,1.225361556,1.41850173,0.157618927
2018-03,Boston,avocados,hass,last 04 wks,3,2018-03-25,2203142.29,2937168.2,0.333172266,3283569.95,3689026.93,0.12348053699999999,1.490403032,1.255980822,-0.157287798
2018-04,Boston,avocados,hass,last 04 wks,4,2018-04-22,2204251.69,3148678.81,0.42845702399999996,3736116.64,3872502.06,0.036504594,1.694959181,1.229881577,-0.274388675
2018-05,Boston,avocados,hass,last 04 wks,5,2018-05-20,2438232.75,4254451.02,0.744891262,4049987.52,4629432.57,0.14307329300000002,1.661034009,1.088138645,-0.34490285
2018-06,Boston,avocados,hass,last 04 wks,6,2018-06-17,2281864.09,4034092.48,0.7678934070000001,4053245.78,4695244.34,0.158391224,1.776287114,1.163891101,-0.34476183899999996
2018-07,Boston,avocados,hass,last 04 wks,7,2018-07-15,2160131.02,3481202.63,0.611570131,3626318.12,4345551.8,0.198337172,1.678749153,1.248290393,-0.256416367
2018-08,Boston,avocados,hass,last 04 wks,8,2018-08-12,2422818.68,3187042.89,0.315427736,3580043.64,3963353.66,0.10706853300000001,1.4776358090000001,1.243583408,-0.158396541
2018-09,Boston,avocados,hass,last 04 wks,9,2018-09-09,1876013.85,2740293.86,0.46070022899999996,3272948.06,3984854.09,0.21751216899999998,1.7446289430000002,1.454170353,-0.166487316
2018-10,Boston,avocados,hass,last 04 wks,10,2018-10-07,1919768.68,2490341.66,0.297209235,3034514.15,3631577.7,0.19675754399999998,1.5806665569999998,1.458264847,-0.077436768
2018-11,Boston,avocados,hass,last 04 wks,11,2018-11-04,1885736.61,2433185.0,0.290310103,2885140.95,3475468.38,0.204609563,1.529980876,1.4283617480000002,-0.066418561
2018-12,Boston,avocados,hass,last 04 wks,12,2018-12-02,2133586.17,2057037.31,-0.035878026,2847269.77,3152656.13,0.107255857,1.334499544,1.532619809,0.148460347
2018-12,Boston,avocados,hass,last 04 wks,13,2018-12-30,2143997.63,2196690.43,0.024576893,2823680.65,3114712.75,0.103068348,1.3170166840000002,1.4179115580000001,0.076608653
