year_month,geography,period,date,units_prior_year,units_current_year,unit_variance,dollars_prior_year,dollars_current_year,dollar_variance,avg_price_prior_year,avg_price_current_year,avg_price_variance,prod_total_volume,california,chile,mexico,peru,colombia
2018-01-01,Plains,1,2018-01-28,7793854.28,9069072.68,0.163618456,8758780.33,10427112.67,0.190475417,1.123806016,1.149744085,0.023080557,45299201,2698356,95491,42505354,0,0
2018-01-01,Southeast,1,2018-01-28,15074405.57,18219738.71,0.208653875,18574573.99,22138972.67,0.191896658,1.232192799,1.21510923,-0.013864364,45299201,2698356,95491,42505354,0,0
2018-01-01,Charlotte,1,2018-01-28,915341.93,1137236.4,0.242417028,1188835.79,1469353.55,0.235960056,1.298788738,1.292038797,-0.005197105,45299201,2698356,95491,42505354,0,0
2018-01-01,Pittsburgh,1,2018-01-28,627614.46,602791.97,-0.039550539,689238.33,724709.33,0.051464056,1.09818746,1.202254453,0.094762503,45299201,2698356,95491,42505354,0,0
2018-01-01,Atlanta,1,2018-01-28,2254676.72,2657566.19,0.178690571,2477949.24,2858548.7,0.153594534,1.099026401,1.07562653,-0.021291454,45299201,2698356,95491,42505354,0,0
2018-01-01,Harrisburg/Scranton,1,2018-01-28,1145936.01,1269731.22,0.108029776,1481837.73,1547934.52,0.044604607,1.293124326,1.219104087,-0.057241393,45299201,2698356,95491,42505354,0,0
2018-01-01,SanFrancisco,1,2018-01-28,3741197.33,3995937.39,0.068090517,4310095.24,4964932.25,0.151930984,1.152063059,1.242495006,0.078495657,45299201,2698356,95491,42505354,0,0
2018-01-01,Northeast,1,2018-01-28,18775303.27,21181739.7,0.128170309,24947671.78,28201009.92,0.130406483,1.328749337,1.331383084,0.001982124,45299201,2698356,95491,42505354,0,0
2018-01-01,Chicago,1,2018-01-28,3423182.44,3675321.39,0.073656299,4163163.43,5452916.57,0.309801227,1.216167558,1.483657071,0.219944621,45299201,2698356,95491,42505354,0,0
2018-01-01,Louisville,1,2018-01-28,389334.08,488178.8,0.253881499,469543.37,534044.31,0.137369504,1.206016617,1.093952277,-0.092921058,45299201,2698356,95491,42505354,0,0
2018-01-01,Raleigh/Greensboro,1,2018-01-28,1270356.39,1501856.98,0.182232791,1551688.38,1888861.67,0.217294461,1.221459106,1.257684117,0.029657163,45299201,2698356,95491,42505354,0,0
2018-01-01,Columbus,1,2018-01-28,746213.82,922283.93,0.235951285,804840.02,908940.28,0.129342798,1.078564881,0.98553195,-0.086256221,45299201,2698356,95491,42505354,0,0
