year_month,geography,timeframe,date,type,avg_price,prices_total_volume,units_4046,units_4225,units_4770,total_bags,s_bags,l_bags,xl_bags
2020-01-01,Albany,weekly,2020-01-06,conventional ,0.92,185688.43,4038.61,163629.86,193.31,17826.65,7098.37,9384.95,1343.33
2020-01-01,Atlanta,weekly,2020-01-06,conventional ,0.89,812755.45,355460.73,37303.12,2905.78,417085.82,371318.63,45627.67,139.52
2020-01-01,Baltimore/Washington,weekly,2020-01-06,conventional ,1.13,1040583.36,120288.69,522244.65,6213.88,391836.14,239052.24,152663.9,120.0
2020-01-01,Boise,weekly,2020-01-06,conventional ,1.09,121921.1,35816.52,8749.59,1834.52,75520.47,39530.82,31962.59,4027.06
2020-01-01,Boston,weekly,2020-01-06,conventional ,1.18,762475.92,11242.17,494342.34,1486.19,255405.22,110420.12,144661.77,323.33
2020-01-01,Buffalo/Rochester,weekly,2020-01-06,conventional ,1.15,193953.89,11768.48,78719.55,371.44,103094.42,40150.31,60710.78,2233.33
2020-01-01,California,weekly,2020-01-06,conventional ,1.12,6728876.94,2002909.6,969150.02,205572.28,3551245.04,1691083.77,1448494.6,411666.67
2020-01-01,Charlotte,weekly,2020-01-06,conventional ,1.04,336572.71,117562.68,59910.78,4009.71,155089.54,118035.71,36873.83,180.0
2020-01-01,Chicago,weekly,2020-01-06,conventional ,1.08,807582.31,101085.9,278621.64,42010.95,385863.82,128566.57,257233.8,63.45
2020-01-01,Cincinnati/Dayton,weekly,2020-01-06,conventional ,0.73,356146.76,93137.63,21602.44,10971.84,230434.85,209011.94,20838.85,584.06
2020-01-01,Columbus,weekly,2020-01-06,conventional ,0.73,251781.0,78509.61,18725.55,2124.19,152421.65,130665.08,21493.02,263.55
2020-01-01,Dallas/FtWorth,weekly,2020-01-06,conventional ,0.71,1600871.66,664611.03,201597.18,13711.05,720952.4,415972.63,304522.94,456.83
2020-01-01,Denver,weekly,2020-01-06,conventional ,0.95,1037906.96,197120.84,165448.03,4322.79,671015.3,182894.87,477921.99,10198.44
2020-01-01,Detroit,weekly,2020-01-06,conventional ,0.82,527800.24,141345.14,51567.73,79314.16,255573.21,231551.54,18144.61,5877.06
2020-01-01,GrandRapids,weekly,2020-01-06,conventional ,1.13,220500.51,4684.77,83359.2,84719.36,47737.18,27827.45,4958.43,14951.3
2020-01-01,GreatLakes,weekly,2020-01-06,conventional ,0.89,4498529.52,949568.49,880856.09,370879.95,2297224.99,1581935.33,668199.79,47089.87
2020-01-01,Harrisburg/Scranton,weekly,2020-01-06,conventional ,0.99,394956.19,66879.49,226458.48,598.35,101019.87,81236.56,16452.2,3331.11
2020-01-01,Hartford/Springfield,weekly,2020-01-06,conventional ,1.38,395520.35,8256.41,317659.39,713.51,68891.04,48984.24,18413.47,1493.33
2020-01-01,Houston,weekly,2020-01-06,conventional ,0.7,1441237.76,602142.82,339235.27,1222.9,498636.77,274664.88,213659.44,10312.45
2020-01-01,Indianapolis,weekly,2020-01-06,conventional ,0.76,289110.15,82921.74,40007.7,4887.4,161293.31,151150.46,9542.14,600.71
2020-01-01,Jacksonville,weekly,2020-01-06,conventional ,0.9,302972.47,133727.65,10458.28,1061.91,157724.63,46967.54,110757.09,0.0
2020-01-01,LasVegas,weekly,2020-01-06,conventional ,0.92,386024.55,62806.47,55204.41,663.88,267349.79,68297.25,197942.54,1110.0
2020-01-01,LosAngeles,weekly,2020-01-06,conventional ,1.05,3067211.9,913991.69,62160.47,154399.03,1936660.71,970448.74,624012.51,342199.46
2020-01-01,Louisville,weekly,2020-01-06,conventional ,0.91,133723.06,37889.03,12970.92,235.26,82627.85,63615.48,19005.7,6.67
2020-01-01,Miami/FtLauderdale,weekly,2020-01-06,conventional ,0.9,1285675.89,485437.81,37424.37,4562.05,758251.66,203973.38,554262.06,16.22
2020-01-01,Midsouth,weekly,2020-01-06,conventional ,0.97,4219760.75,1270816.41,1038403.45,26093.88,1884447.01,1348348.83,529261.39,6836.79
2020-01-01,Nashville,weekly,2020-01-06,conventional ,0.82,287253.98,117532.7,9292.82,556.25,159872.21,134373.08,25054.95,444.18
2020-01-01,NewOrleans/Mobile,weekly,2020-01-06,conventional ,0.86,340228.52,173426.91,19824.52,442.0,146535.09,95450.26,43998.17,7086.66
2020-01-01,NewYork,weekly,2020-01-06,conventional ,1.41,2295745.27,42892.09,1637672.42,20553.05,593193.11,442704.95,146043.72,4444.44
2020-01-01,Northeast,weekly,2020-01-06,conventional ,1.2,6470709.45,264198.91,4465458.53,26013.54,1713603.87,1047398.2,642558.99,23646.68
2020-01-01,NorthernNewEngland,weekly,2020-01-06,conventional ,0.83,834766.42,8912.66,709765.25,279.03,115809.48,24697.63,90358.51,753.34
2020-01-01,Orlando,weekly,2020-01-06,conventional ,0.87,705584.26,267137.07,17851.1,5212.13,415383.96,120977.82,294391.74,14.4
2020-01-01,Philadelphia,weekly,2020-01-06,conventional ,1.17,674360.75,27557.45,435201.12,1941.28,209660.9,167674.04,37852.42,4134.44
2020-01-01,Phoenix/Tucson,weekly,2020-01-06,conventional ,0.75,1370165.65,405368.53,247617.44,4964.07,712215.61,191065.36,517900.25,3250.0
2020-01-01,Pittsburgh,weekly,2020-01-06,conventional ,1.2,112236.27,38021.03,7697.27,526.7,65991.27,31537.1,34454.17,0.0
2020-01-01,Plains,weekly,2020-01-06,conventional ,0.99,2295027.35,989571.37,467579.53,21781.13,816095.32,645846.38,126099.96,44148.98
2020-01-01,Portland,weekly,2020-01-06,conventional ,0.97,918027.06,66293.24,139520.08,4122.89,708090.85,294784.59,394326.55,18979.71
2020-01-01,Raleigh/Greensboro,weekly,2020-01-06,conventional ,1.02,427144.26,160235.91,71978.87,6092.39,188837.09,121597.85,67233.45,5.79
2020-01-01,Richmond/Norfolk,weekly,2020-01-06,conventional ,0.83,364862.36,128690.17,66560.76,1749.73,167861.7,129909.29,37532.55,419.86
2020-01-01,Roanoke,weekly,2020-01-06,conventional ,0.8,217201.63,77539.77,27623.64,149.73,111888.49,81384.77,30413.72,90.0
2020-01-01,Sacramento,weekly,2020-01-06,conventional ,1.14,577695.32,163291.93,254290.12,4881.29,155231.98,82079.62,65984.57,7167.79
2020-01-01,SanDiego,weekly,2020-01-06,conventional ,1.1,572790.32,96057.16,23118.1,13496.82,440118.24,195744.53,241707.76,2665.95
2020-01-01,SanFrancisco,weekly,2020-01-06,conventional ,1.34,950897.52,286755.38,253260.33,7002.97,403878.84,151550.85,242818.59,9509.4
2020-01-01,Seattle,weekly,2020-01-06,conventional ,1.24,747999.68,72422.61,102444.37,1259.12,571873.58,259590.57,310894.43,1388.58
2020-01-01,SouthCarolina,weekly,2020-01-06,conventional ,0.94,524843.87,218942.9,49044.57,1976.57,254879.83,181382.18,72919.47,578.18
2020-01-01,SouthCentral,weekly,2020-01-06,conventional ,0.76,7369854.16,3160394.08,1100031.65,119381.44,2990046.99,1833627.2,1076354.5,80065.29
2020-01-01,Southeast,weekly,2020-01-06,conventional ,0.89,6509409.44,2671177.17,260412.62,24024.4,3553795.25,1572503.02,1972748.21,8544.02
2020-01-01,Spokane,weekly,2020-01-06,conventional ,1.03,117502.84,18331.54,14483.83,113.94,84573.53,41424.03,43093.33,56.17
2020-01-01,StLouis,weekly,2020-01-06,conventional ,1.01,223047.22,116196.2,9039.14,608.48,97203.4,88890.39,1919.68,6393.33
2020-01-01,Syracuse,weekly,2020-01-06,conventional ,1.05,105873.63,3971.33,64966.36,77.5,36858.44,12854.24,22603.09,1401.11
2020-01-01,Tampa,weekly,2020-01-06,conventional ,0.87,775191.5,268346.69,21272.19,3442.82,482129.8,105418.6,376708.18,3.02
2020-01-01,TotalUS,weekly,2020-01-06,conventional ,0.97,46310705.72,13036248.61,10416874.46,845596.08,22010551.97,11649671.54,9670934.96,689945.47
2020-01-01,West,weekly,2020-01-06,conventional ,0.94,8218538.09,1727612.58,1234982.58,51849.45,5204093.48,1928928.76,3207217.5,67947.22
2020-01-01,WestTex/NewMexico,weekly,2020-01-06,conventional ,0.88,893503.74,379712.27,64232.94,63749.67,385808.86,243487.35,141191.3,1130.21
2020-01-01,Albany,weekly,2020-01-06,organic,1.47,2152.91,20.57,192.36,0.0,1939.98,1024.54,915.44,0.0
2020-01-01,Atlanta,weekly,2020-01-06,organic,1.33,30540.92,104.01,3734.17,0.0,26702.74,14142.49,12560.25,0.0
2020-01-01,Baltimore/Washington,weekly,2020-01-06,organic,1.36,40369.81,297.61,4101.04,10.59,35960.57,33900.82,2059.75,0.0
2020-01-01,Boise,weekly,2020-01-06,organic,1.95,5494.54,2.67,583.05,0.0,4908.82,4188.36,720.46,0.0
2020-01-01,Boston,weekly,2020-01-06,organic,1.7,23220.06,100.46,1850.27,0.0,21269.33,15568.07,5701.26,0.0
2020-01-01,Buffalo/Rochester,weekly,2020-01-06,organic,1.13,12334.86,463.19,186.86,0.0,11684.81,2618.03,9066.78,0.0
2020-01-01,California,weekly,2020-01-06,organic,1.71,293342.89,24387.15,16999.51,0.0,251956.23,210545.95,41410.28,0.0
2020-01-01,Charlotte,weekly,2020-01-06,organic,1.5,17694.92,13.5,3954.94,39.99,13686.49,6703.19,6983.3,0.0
2020-01-01,Chicago,weekly,2020-01-06,organic,1.11,126287.98,2199.43,29062.22,0.0,95026.33,90095.37,4930.96,0.0
2020-01-01,Cincinnati/Dayton,weekly,2020-01-06,organic,1.2,19579.1,81.88,3376.36,0.0,16120.86,2181.13,13939.73,0.0
2020-01-01,Columbus,weekly,2020-01-06,organic,1.19,15200.51,571.06,1526.58,0.0,13102.87,6368.04,6734.83,0.0
2020-01-01,Dallas/FtWorth,weekly,2020-01-06,organic,1.25,33244.0,3355.85,62.46,248.38,29577.31,19540.64,10036.67,0.0
2020-01-01,Denver,weekly,2020-01-06,organic,1.5,37216.76,7909.3,1285.84,11.81,28009.81,27916.66,93.15,0.0
2020-01-01,Detroit,weekly,2020-01-06,organic,1.31,32078.09,353.52,4662.66,0.0,27061.91,11217.28,15844.63,0.0
2020-01-01,GrandRapids,weekly,2020-01-06,organic,1.26,8158.28,11.46,2190.09,0.0,5956.73,5878.39,78.34,0.0
2020-01-01,GreatLakes,weekly,2020-01-06,organic,1.17,300121.53,6051.63,50497.61,0.0,243537.01,176156.83,67380.18,0.0
2020-01-01,Harrisburg/Scranton,weekly,2020-01-06,organic,1.21,11579.85,582.73,372.14,0.0,10624.98,10419.84,205.14,0.0
2020-01-01,Hartford/Springfield,weekly,2020-01-06,organic,2.0,12614.08,588.78,7150.78,8.46,4866.06,4808.11,57.95,0.0
