date,avg_price,year_month,geography,type,prices_total_volume,units_4046,units_4225,units_4770,total_bags,s_bags,l_bags,xl_bags,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
1/8/2017,0.78,1/1/2017,Dallas/FtWorth,conventional,1247488.6,556814.8,343124.23,2551.41,344998.16,341681.22,3247.62,69.32,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.74,1/1/2017,Atlanta,organic,8244.17,1456,5316.57,0,1471.6,0,1471.6,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.51,1/1/2017,Chicago,organic,47561.03,52.69,43587.09,0,3921.25,3921.25,0,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.79,1/1/2017,GrandRapids,organic,1095.77,84.21,738.23,0,273.33,263.33,10,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,0.74,1/1/2017,SouthCentral,conventional,6207638.5,4020198.09,957479.68,23685.51,1206275.22,1066264.87,128528.14,11482.21,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.4,1/1/2017,Miami/FtLauderdale,conventional,522278.22,209904.22,121128.25,293.18,190952.57,85738.78,105206.85,6.94,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.2,1/1/2017,West,organic,208810.31,32006.16,45982.34,70.4,130751.41,45987.98,84763.43,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.46,1/1/2017,StLouis,organic,5850.8,1662.86,413.93,0,3774.01,716.11,3057.9,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.4,1/1/2017,Houston,organic,10109.46,7550.89,58.71,0,2499.86,2499.86,0,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.04,1/1/2017,Roanoke,conventional,163498.85,48905.14,46802.42,142.99,67648.3,66764.36,883.94,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,1,1/1/2017,StLouis,conventional,192362.18,80253.19,15081.96,159.98,96867.05,63464.66,33402.39,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,1.49,1/1/2017,Phoenix/Tucson,organic,14419.22,4218.73,4389.86,0,5810.63,5789.71,20.92,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.1,1/1/2017,NewOrleans/Mobile,conventional,230884.67,124108.53,31296.37,316,75163.77,52403.61,13645.16,9115,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,1.48,1/1/2017,Philadelphia,conventional,421316.65,27673.88,248553.08,20098.48,124991.21,114418.84,10028.59,543.78,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,0.95,1/1/2017,Atlanta,conventional,627695.79,285147.95,86150.35,219.79,256177.7,177033.34,79144.36,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.18,1/1/2017,Raleigh/Greensboro,conventional,283434.01,74754.07,125855.56,13633.95,69190.43,66525.85,2664.58,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.23,1/1/2017,Jacksonville,organic,4964.5,296.3,67.34,20.81,4580.05,1396.67,3183.38,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.21,1/1/2017,Miami/FtLauderdale,organic,5253.5,290.61,20.17,0,4942.72,1970,2972.72,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,0.91,1/1/2017,Denver,organic,21449.37,4103.45,775.73,5.71,16564.48,3485.79,13078.69,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.52,1/1/2017,GrandRapids,organic,2650.61,108.05,1992.56,0,550,550,0,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,1.18,1/1/2017,Roanoke,organic,7932.55,339.58,3824.05,0,3768.92,1293.27,2475.65,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.85,1/1/2017,Baltimore/Washington,organic,17989.43,1325.19,7679.48,444.8,8539.96,8534.42,5.54,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.11,1/1/2017,Richmond/Norfolk,conventional,240752.75,82444.88,85577.58,5485.61,67244.68,65961.19,1104.32,179.17,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.48,1/1/2017,SouthCarolina,organic,9552.09,304.42,3669.2,222.07,5356.4,4469.22,887.18,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.06,1/1/2017,Dallas/FtWorth,organic,15669.84,4110.67,312.11,0,11247.06,11137.36,109.7,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.06,1/1/2017,Boise,organic,3083.38,3,450.57,0,2629.81,639.29,1990.52,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,2.03,1/1/2017,SanFrancisco,organic,20441.93,8435.86,9045.98,2.86,2957.23,2957.23,0,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/15/2017,2.09,1/1/2017,NewYork,organic,42233.25,6002.05,18195.1,117.02,17919.08,17791.92,127.16,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,1.32,1/1/2017,Boston,conventional,604106.12,5792.32,464828.97,6111.1,127373.73,126000.39,1373.34,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.01,1/1/2017,Boise,conventional,88317.73,34251.49,5626.82,8313.98,40125.44,34932.06,5155.3,38.08,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,0.84,1/1/2017,Atlanta,conventional,755472.09,320378,135920.57,179.13,298994.39,177899.15,121095.24,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,1.11,1/1/2017,StLouis,conventional,144323.7,90181.75,10226.35,212.85,43702.75,39615.42,4087.33,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/2/2017,2.44,1/1/2017,Hartford/Springfield,organic,11977.13,152.32,7697.1,12.35,4115.36,3947.64,167.72,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/29/2017,0.94,1/1/2017,Louisville,conventional,116309.9,2082.57,55703.27,217.7,58306.36,17307.09,40985.94,13.33,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.28,1/1/2017,Spokane,organic,3750.22,99.78,928.56,0,2721.88,63.35,2658.53,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/8/2017,1.28,1/1/2017,Charlotte,conventional,219338.92,56739.54,80201.7,10231.86,72165.82,63539.28,8626.54,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.42,1/1/2017,Baltimore/Washington,conventional,826941.93,81908.85,528125.52,22836.9,194070.66,187903.12,5693.97,473.57,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
1/22/2017,1.34,1/1/2017,LasVegas,organic,10312.75,1117.76,3189.79,0,6005.2,5992.65,12.55,0,9.92,42.2,3.61,3.61,7.1,3.61,0,1.78,1.59,1.43,1.77,1.69,1.29,0.7,34,50.3
