year_month,geography,date,type,avg_price,price_total_volume,four_zero_four_six_units,four_two_two_five_units,four_seven_seven_zero_units,total_bags,s_bags,l_bags,xl_bags,status,prod_total_volume,california,prod,chile,mexico,peru,columbia
2018-01-01,Albany,1/14/2018,conventional,1.42,95246.38,2897.41,76570.67,44,15734.3,10012.8,5721.5,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Albany,1/14/2018,organic,1.47,4140.95,7.3,301.87,0,3831.78,3831.78,0,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Albany,1/21/2018,conventional,1.69,135196.35,3133.37,116520.88,88.78,15453.32,10023.79,5429.53,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Albany,1/21/2018,organic,1.54,3346.54,14.67,253.01,0,3078.86,3078.86,0,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Albany,1/28/2018,conventional,1.57,93625.03,3101.17,74627.23,55.59,15841.04,11614.79,4159.58,66.67,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Albany,1/28/2018,organic,1.32,6987.56,433.66,374.96,0,6178.94,6178.94,0,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Albany,1/7/2018,conventional,1.13,98540.22,2940.63,76192.61,42.63,19364.35,8633.09,10707.93,23.33,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Albany,1/7/2018,organic,1.54,4816.9,43.51,412.17,0,4361.22,4357.89,3.33,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Atlanta,1/14/2018,conventional,1.1,670766.04,298975.97,60229.21,1604.9,309955.96,171508.47,134436.39,4011.1,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Atlanta,1/14/2018,organic,1.56,16151.7,291.55,3583.4,0,12276.75,7227.8,5048.95,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Atlanta,1/21/2018,conventional,1.1,639421.29,288131.95,56731.74,1612.56,292945.04,158655.8,128969.24,5320,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Atlanta,1/21/2018,organic,1.64,18554.97,349.05,3967.66,0,14238.26,6204.43,8033.83,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Atlanta,1/28/2018,conventional,1.08,559460.44,267126.26,37573.74,1661.8,253098.64,165156.6,83774.26,4167.78,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Atlanta,1/28/2018,organic,1.67,14446.26,390.17,5130.48,0,8925.61,5602.18,3323.43,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Atlanta,1/7/2018,conventional,0.98,713915.8,364463.12,47869.41,1459.65,300123.62,217644.43,78287.66,4191.53,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Atlanta,1/7/2018,organic,1.53,15714.11,405.37,4195.19,0,11113.55,7883.61,3229.94,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Baltimore/Washington,1/14/2018,conventional,1.49,799726.89,91785.6,485963.15,4234.82,217743.32,212956.99,4783,3.33,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Baltimore/Washington,1/14/2018,organic,1.39,66149.27,1264.25,10025.87,105.72,54753.43,54746.77,6.66,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Baltimore/Washington,1/21/2018,conventional,1.18,1102213.13,129351.87,659069.49,4321.42,309470.35,304382.22,5088.13,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Baltimore/Washington,1/21/2018,organic,1.66,38098.21,1450.87,9262.48,65.08,27319.78,27315.34,4.44,0,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Baltimore/Washington,1/28/2018,conventional,1.12,1152539.42,115283.7,805041.45,4257.45,227956.82,225931.13,2019.02,6.67,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Baltimore/Washington,1/28/2018,organic,1.55,44059.08,1236.06,8807.18,147.27,33868.57,33859.68,8.89,0,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Baltimore/Washington,1/7/2018,conventional,1.5,771313.78,89883.07,466602.79,4167.07,210660.85,189304.53,21356.32,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Baltimore/Washington,1/7/2018,organic,1.15,82282.71,1315.95,9962.1,134.19,70870.47,70863.8,6.67,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Boise,1/14/2018,conventional,1.15,111113.11,49335.23,7414.97,8298.95,46063.96,19135.96,26830.36,97.64,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Boise,1/14/2018,organic,1.81,2130.13,51.93,802.89,0,1275.31,350.29,925.02,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
2018-01-01,Boise,1/21/2018,conventional,1.25,88727.77,49711.32,2157.11,6343.03,30516.31,22463.22,8026.61,26.48,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Boise,1/21/2018,organic,1.81,2446.13,41.05,577.32,0,1827.76,284.43,1541.86,1.47,actual,54698266,2913663,"(2018-01-01,1/21/2018,actual,54698266,2913663,445127,51339476,0,0)",445127,51339476,0,0
2018-01-01,Boise,1/28/2018,conventional,1.12,105025.45,66653.8,1971.68,6961.61,29438.36,20717.06,8682.47,38.83,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Boise,1/28/2018,organic,1.78,2419.64,52.42,580.64,0,1786.58,294.66,1490.43,1.49,actual,45299201,2698356,"(2018-01-01,1/28/2018,actual,45299201,2698356,95491,42505354,0,0)",95491,42505354,0,0
2018-01-01,Boise,1/7/2018,conventional,1.3,85697.65,45936.53,2658.28,7511.15,29591.69,21784.14,7752.83,54.72,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Boise,1/7/2018,organic,1.77,2553.9,42.6,949.08,0,1562.22,552.06,1010.16,0,actual,45670156,899349,"(2018-01-01,1/7/2018,actual,45670156,899349,519433,44251374,0,0)",519433,44251374,0,0
2018-01-01,Boston,1/14/2018,conventional,1.49,533150.49,10669.09,393026.08,2533.63,126921.69,81610.31,45311.38,0,actual,52758905,830821,"(2018-01-01,1/14/2018,actual,52758905,830821,449003,51479081,0,0)",449003,51479081,0,0
