year_month,status,prod_total_volume,california,chile,mexico,peru,colombia,pcp,tavg,pdsi,phdi,zndx,pmdi,cdd,sp01,sp02,sp03,sp06,sp09,sp12,sp24,tmin,tmax
2019-07-01,actual,54169319,12772597,0,23998089,17398633,0,0.08,75.6,-0.11,2.56,-0.32,2.37,247,-0.75,-1.21,1.57,1.57,1.11,0.95,0.02,61.1,90
2018-11-01,actual,7175415,0,2322562,4852853,0,0,2.81,52.6,-2.79,-2.79,-0.2,-2.79,8,0.35,0.03,-0.16,-0.39,0.46,-1.09,0.5,40.7,64.5
2018-04-01,actual,65017211,13069634,0,51947577,0,0,2.13,57.2,-2.63,-2.63,0.32,-1.65,20,0.62,1.04,-0.06,-0.71,-0.86,-0.98,0.77,44.3,70
2018-10-01,actual,41484288,786902,2002066,38695320,0,0,0.7,60.9,-3.04,-3.04,-1.24,-3.04,45,-0.43,-0.9,-1.12,-1.41,-0.48,-1.01,0.41,48.3,73.5
2020-05-01,actual,51667453,11861004,0,35634569,4171879,0,1.2,64.7,-1.67,-1.67,0.8,-1.09,74,0.65,0.62,0.42,-0.59,-0.91,-1.01,0,51,78.4
2018-11-01,actual,70104497,0,1834643,68269854,0,0,2.81,52.6,-2.79,-2.79,-0.2,-2.79,8,0.35,0.03,-0.16,-0.39,0.46,-1.09,0.5,40.7,64.5
2018-02-01,actual,47371481,2635471,0,44736010,0,0,0.57,46.6,-4.15,-4.15,-4.01,-4.15,0,-1.6,-1.1,-1.98,-1.7,-1.72,-1.5,0.68,34.2,59
2018-03-01,actual,52057338,6816044,0,45241294,0,0,5.12,49,-3.05,-3.05,1.99,-2.23,1,1.03,-0.22,-0.31,-1.05,-1.07,-0.9,0.71,38.2,59.7
2018-03-01,actual,45807126,4997613,0,40809513,0,0,5.12,49,-3.05,-3.05,1.99,-2.23,1,1.03,-0.22,-0.31,-1.05,-1.07,-0.9,0.71,38.2,59.7
2019-03-01,actual,56315469,689283,223611,55402575,0,0,4.05,48.9,2.29,2.29,1.23,2.29,1,0.6,1.56,1.37,0.97,0.9,0.87,-0.04,38.6,59.2
2020-10-01,actual,52210342,3964963,456910,47788469,0,0,0.05,66.5,-3.1,-3.1,-3.19,-3.1,131,-1.69,-1.98,-2.11,-1.58,-1.38,-1.17,-0.08,51.7,81.3
2019-12-01,actual,48427351,0,314608,48112742,0,0,4.87,44.5,-0.91,-0.91,0.76,-0.38,0,0.64,0.18,-0.17,-0.16,0.13,1.16,0.38,36.8,52.2
2019-02-01,actual,45231823,225945,584756,44421122,0,0,8.57,40.6,2.1,2.1,5.68,2.1,0,1.71,1.42,1.04,0.85,0.77,1.06,-0.23,32.1,49.2
