year_month,date,status,prod_total_volume,california,chile,mexico,peru,colombia
2019-01-01,2019-01-06,actual,39644522,0,1111244,38533278,0,0
2019-01-01,2019-01-13,actual,73115987,71558,1154459,71889970,0,0
2019-01-01,2019-01-20,actual,73262502,35452,681725,72545325,0,0
2019-01-01,2019-01-27,actual,59200492,306018,676866,58217608,0,0
2019-02-01,2019-02-03,actual,45231823,225945,584756,44421122,0,0
2019-02-01,2019-02-10,actual,39391270,129957,497035,38764278,0,0
2019-02-01,2019-02-17,actual,52838523,218968,410166,52209389,0,0
2019-02-01,2019-02-24,actual,60985301,397103,184891,60355899,47407,0
2019-03-01,2019-03-03,actual,56315469,689283,223611,55402575,0,0
2019-03-01,2019-03-10,actual,55687317,563806,224208,54899303,0,0
2019-03-01,2019-03-17,actual,57661257,1115176,45885,56500196,0,0
2019-03-01,2019-03-24,actual,47860338,1571282,0,46289056,0,0
2019-03-01,2019-03-31,actual,57772402,3431234,0,54341168,0,0
2019-04-01,2019-04-07,actual,66309565,7995697,0,58313868,0,0
2019-04-01,2019-04-14,actual,71757754,11103220,0,60654534,0,0
2019-04-01,2019-04-21,actual,41226066,9894095,0,31142340,189631,0
2019-04-01,2019-04-28,actual,43710990,9434335,0,33470724,805931,0
2019-05-01,2019-05-05,actual,37778586,7274131,0,29034816,1469639,0
2019-05-01,2019-05-12,actual,45314468,6719247,0,36841135,1754085,0
2019-05-01,2019-05-19,actual,50595179,9208998,0,36977263,4408917,0
2019-05-01,2019-05-26,actual,53448347,11609804,0,35628132,6210411,0
2019-06-01,2019-06-02,actual,48758242,9115908,0,29686713,9955620,0
2019-06-01,2019-06-09,actual,44060017,10069551,0,22660021,11330445,0
2019-06-01,2019-06-16,actual,43165973,10904000,0,18987812,13274161,0
2019-06-01,2019-06-23,actual,43112741,12526752,0,12902910,17683079,0
2019-06-01,2019-06-30,actual,38519597,13700507,0,8653058,16166032,0
2019-07-01,2019-07-07,actual,51446909,12657672,0,21024383,17764854,0
2019-07-01,2019-07-14,actual,54169319,12772597,0,23998089,17398633,0
2019-07-01,2019-07-21,actual,51585051,9892498,0,27328014,14364539,0
2019-07-01,2019-07-28,actual,53521551,7545211,0,31327355,14648985,0
2019-08-01,2019-08-04,actual,39624707,5407640,94816,22270321,11851930,0
2019-08-01,2019-08-11,actual,30887574,4205974,235947,18955232,7490420,0
2019-08-01,2019-08-18,actual,49712129,3864187,328453,38218699,7300789,0
2019-08-01,2019-08-25,actual,48325702,3013192,1245093,40322206,3745210,0
2019-09-01,2019-09-01,actual,37090495,2233704,1684129,29806714,3365948,0
2019-09-01,2019-09-08,actual,44957024,1099090,2405413,40172513,1280008,0
2019-09-01,2019-09-15,actual,51760427,934008,2831699,47331012,663708,0
2019-09-01,2019-09-22,actual,41138734,717498,3649980,36676441,94815,0
2019-09-01,2019-09-29,actual,56281822,611955,3235736,52434131,0,0
2019-10-01,2019-10-06,actual,48828843,476745,2628545,45673552,0,50000
2019-10-01,2019-10-13,actual,52027810,170248,2304294,49553268,0,0
2019-10-01,2019-10-20,actual,45213563,0,1689204,43524359,0,0
2019-10-01,2019-10-27,actual,48468039,0,1369502,47098535,0,0
2019-11-01,2019-11-03,actual,53112275,0,1202068,51910206,0,0
2019-11-01,2019-11-10,actual,43217649,0,188154,43029495,0,0
2019-11-01,2019-11-17,actual,41304726,0,89949,41214777,0,0
2019-11-01,2019-11-24,actual,39597532,0,234344,39363186,0,0
2019-12-01,2019-12-01,actual,49266022,0,363868,48902153,0,0
2019-12-01,2019-12-08,actual,55662831,0,314608,55348222,0,0
2019-12-01,2019-12-15,actual,48427351,0,314608,48112742,0,0
2019-12-01,2019-12-22,actual,49600528,0,177780,49422746,0,0
2019-12-01,2019-12-29,actual,33408342,0,222755,33185587,0,0
